100.00	60044	0	R	1	root
100.00	60044	0	R1	131567	  cellular organisms
99.88	59974	0	D	2	    Bacteria
96.68	58051	0	P	1224	      Pseudomonadota
52.34	31430	0	C	1236	        Gammaproteobacteria
33.73	20252	0	O	135622	          Alteromonadales
25.75	15460	0	F	72275	            Alteromonadaceae
25.75	15460	0	F1	2903219	              Alteromonas/Salinimonas group
25.49	15306	0	G	288793	                Salinimonas
25.49	15306	15306	S	2572577	                  Salinimonas iocasae
0.26	154	0	G	226	                Alteromonas
0.22	132	132	S	233316	                  Alteromonas stellipolaris
0.04	22	0	G1	2614992	                  unclassified Alteromonas
0.04	22	22	S	2267264	                    Alteromonas sp. RKMC-009
5.68	3407	0	F	267888	            Pseudoalteromonadaceae
5.68	3407	0	G	53246	              Pseudoalteromonas
4.89	2937	2937	S	1190813	                Pseudoalteromonas shioyasakiensis
0.37	221	0	G1	194690	                unclassified Pseudoalteromonas
0.37	221	221	S	1514074	                  Pseudoalteromonas sp. NC201
0.41	249	249	S	394751	                Pseudoalteromonas arctica
2.30	1383	0	F	267890	            Shewanellaceae
2.30	1383	0	G	22	              Shewanella
1.54	921	0	G1	196818	                unclassified Shewanella
1.54	921	921	S	94122	                  Shewanella sp. ANA-3
0.77	461	461	S	1028752	                Shewanella aestuarii
9.23	5543	0	O	91347	          Enterobacterales
8.01	4810	0	F	1903414	            Morganellaceae
8.01	4810	0	G	583	              Proteus
8.01	4810	0	G1	257482	                unclassified Proteus (in: enterobacteria)
8.01	4810	4810	S	2697019	                  Proteus sp. ZN5
1.22	732	0	F	543	            Enterobacteriaceae
0.66	393	0	G	561	              Escherichia
0.66	393	393	S	564	                Escherichia fergusonii
0.57	339	0	G	547	              Enterobacter
0.57	339	0	G1	354276	                Enterobacter cloacae complex
0.57	339	339	S	550	                  Enterobacter cloacae
5.16	3097	0	O	135623	          Vibrionales
5.16	3097	0	F	641	            Vibrionaceae
5.16	3097	0	G	662	              Vibrio
2.40	1441	0	G1	1891919	                Vibrio oreintalis group
2.40	1441	1441	S	29498	                  Vibrio tubiashii
2.76	1655	1655	S	76258	                Vibrio rumoiensis
2.49	1493	0	O	72274	          Pseudomonadales
1.50	902	0	F	135621	            Pseudomonadaceae
1.36	814	0	G	286	              Pseudomonas
1.17	702	0	G1	136845	                Pseudomonas putida group
1.17	702	702	S	303	                  Pseudomonas putida
0.19	112	0	G1	136841	                Pseudomonas aeruginosa group
0.19	112	112	S	53412	                  Pseudomonas resinovorans
0.15	87	0	G	2901164	              Stutzerimonas
0.15	87	0	G1	136846	                Stutzerimonas stutzeri group
0.15	87	0	G2	578833	                  Stutzerimonas stutzeri subgroup
0.15	87	87	S	316	                    Stutzerimonas stutzeri
0.98	591	0	F	2887365	            Marinobacteraceae
0.98	591	0	G	2742	              Marinobacter
0.98	591	0	G1	83889	                unclassified Marinobacter
0.96	579	579	S	2488665	                  Marinobacter sp. NP-4(2019)
0.02	12	12	S	2547598	                  Marinobacter sp. JH2
1.12	670	0	O	135619	          Oceanospirillales
1.12	670	0	F	28256	            Halomonadaceae
1.12	670	0	G	2745	              Halomonas
0.88	528	528	S	229007	                Halomonas ventosae
0.24	141	141	S	115553	                Halomonas sulfidaeris
0.51	308	0	O	2887326	          Moraxellales
0.51	308	0	F	468	            Moraxellaceae
0.51	308	0	G	469	              Acinetobacter
0.27	159	159	S	40216	                Acinetobacter radioresistens
0.10	60	0	G1	196816	                unclassified Acinetobacter
0.10	60	60	S	2563897	                  Acinetobacter sp. 10FS3-1
0.15	89	89	S	2006115	                Acinetobacter piscicola
0.11	64	0	O	135614	          Xanthomonadales
0.11	64	0	F	32033	            Xanthomonadaceae
0.11	64	0	G	40323	              Stenotrophomonas
0.11	64	64	S	216778	                Stenotrophomonas rhizophila
35.23	21152	0	C	28211	        Alphaproteobacteria
15.50	9309	0	O	204457	          Sphingomonadales
11.48	6895	0	F	41297	            Sphingomonadaceae
4.96	2980	0	G	165695	              Sphingobium
2.11	1264	0	G1	2611147	                unclassified Sphingobium
0.27	159	159	S	1843368	                  Sphingobium sp. RAC03
1.18	706	706	S	2676077	                  Sphingobium sp. CAP-1
0.59	352	352	S	1315974	                  Sphingobium sp. TKS
0.08	46	46	S	1855519	                  Sphingobium sp. EP60837
1.54	926	926	S	120107	                Sphingobium cloacae
0.42	251	251	S	1332080	                Sphingobium baderi
0.75	451	451	S	135719	                Sphingobium amiense
