name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Aurantiacibacter atlanticus	1648404	S	4283	4374	8657	0.13046
Croceicoccus marinus	450378	S	632	104	736	0.01109
Porphyrobacter sp. YT40	2547601	S	555	544	1099	0.01656
Sphingobium sp. TKS	1315974	S	535	887	1422	0.02143
Sphingobium baderi	1332080	S	309	384	693	0.01044
Sphingobium cloacae	120107	S	26	42	68	0.00102
Sphingobium herbicidovorans	76947	S	20	12	32	0.00048
Sphingobium amiense	135719	S	15	26	41	0.00062
Sphingopyxis macrogoltabida	33050	S	307	178	485	0.00731
Sphingopyxis alaskensis	117207	S	74	20	94	0.00142
Sphingopyxis sp. 113P3	292913	S	19	5	24	0.00036
Sphingopyxis sp. FD7	1914525	S	15	5	20	0.00030
Sphingomonas sanxanigenens	397260	S	360	144	504	0.00759
Sphingomonas sp. IC081	304378	S	38	16	54	0.00081
Sphingomonas sp. FARSPH	2219696	S	15	25	40	0.00060
Rhizorhabdus dicambivorans	1850238	S	264	746	1010	0.01522
Novosphingobium resinovorum	158500	S	76	23	99	0.00149
Novosphingobium sp. EMRT-2	2571749	S	18	6	24	0.00036
Novosphingobium pentaromativorans	205844	S	16	2	18	0.00027
Salipiger profundus	1229727	S	1346	1310	2656	0.04002
Salipiger abyssi	1250539	S	327	164	491	0.00740
Salipiger sp. CCB-MM3	1792508	S	16	0	16	0.00024
Sulfitobacter sp. D7	1968541	S	459	379	838	0.01263
Sulfitobacter sp. THAF37	2587855	S	26	48	74	0.00112
Sulfitobacter alexandrii	1917485	S	27	76	103	0.00155
Sulfitobacter mediterraneus	83219	S	16	11	27	0.00041
Roseovarius indicus	540747	S	123	195	318	0.00479
Roseovarius mucosus	215743	S	102	581	683	0.01029
Roseovarius sp. THAF9	2587847	S	25	15	40	0.00060
Roseovarius sp. THAF27	2587850	S	15	24	39	0.00059
Sagittula sp. P11	2009329	S	62	121	183	0.00276
Phaeobacter gallaeciensis	60890	S	35	38	73	0.00110
Phaeobacter porticola	1844006	S	18	1	19	0.00029
Celeribacter indicus	1208324	S	22	86	108	0.00163
Celeribacter baekdonensis	875171	S	19	29	48	0.00072
Pseudosulfitobacter pseudonitzschiae	1402135	S	42	19	61	0.00092
Ruegeria sp. THAF33	2587853	S	15	4	19	0.00029
Octadecabacter sp. SW4	2602067	S	22	31	53	0.00080
Leisingera sp. NJS204	2508307	S	19	13	32	0.00048
Dinoroseobacter shibae	215813	S	14	32	46	0.00069
Paracoccaceae bacterium	1904441	S	1490	1320	2810	0.04234
Pacificitalea manganoxidans	1411902	S	413	231	644	0.00970
Pseudohalocynthiibacter aestuariivivens	1591409	S	26	14	40	0.00060
Gemmobacter fulva	2840474	S	22	1	23	0.00035
Yoonia vestfoldensis	245188	S	19	127	146	0.00220
Pukyongiella litopenaei	2605946	S	18	25	43	0.00065
Falsirhodobacter sp. PG104	2692330	S	12	0	12	0.00018
