name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas macleodii	28108	S	674560	363383	1037943	0.17751
Alteromonas mediterranea	314275	S	32834	20169	53003	0.00906
Alteromonas sp. RKMC-009	2267264	S	15759	2578	18337	0.00314
Alteromonas sp. B31-7	2785913	S	2573	33654	36227	0.00620
Alteromonas sp. RW2A1	1917158	S	683	4771	5454	0.00093
Alteromonas sp. 009811495	3002962	S	214	348	562	0.00010
Alteromonas sp. BL110	1714845	S	110	37	147	0.00003
Alteromonas sp. LMIT006	2961948	S	90	15	105	0.00002
Alteromonas sp. MB-3u-76	2058133	S	68	354	422	0.00007
Alteromonas sp. 76-1	2358187	S	47	39	86	0.00001
Alteromonas australica	589873	S	4021	21312	25333	0.00433
Alteromonas naphthalenivorans	715451	S	269	315	584	0.00010
Alteromonas pelagimontana	1858656	S	51	8	59	0.00001
Alteromonas stellipolaris	233316	S	16	186	202	0.00003
Salinimonas iocasae	2572577	S	1519	527	2046	0.00035
Salinimonas sediminis	2303538	S	320	109	429	0.00007
Salinimonas lutimaris	914153	S	23	5	28	0.00000
Salinimonas marina	2785918	S	18	2	20	0.00000
Hydrocarboniclastica marina	2259620	S	48	10	58	0.00001
Lacimicrobium alkaliphilum	1526571	S	23	1	24	0.00000
Gayadomonas joobiniege	1234606	S	16	0	16	0.00000
Pseudoalteromonas sp. SCSIO 43088	2822846	S	24914	43111	68025	0.01163
Pseudoalteromonas sp. CF6-2	562716	S	2507	14267	16774	0.00287
Pseudoalteromonas sp. SCSIO 43101	2822847	S	1705	1617	3322	0.00057
Pseudoalteromonas sp. MT33b	2759705	S	364	9234	9598	0.00164
Pseudoalteromonas sp. JSTW	2752475	S	146	3998	4144	0.00071
Pseudoalteromonas sp. SM9913	234831	S	81	2208	2289	0.00039
Pseudoalteromonas sp. A41-2	2785910	S	71	3145	3216	0.00055
Pseudoalteromonas sp. GCY	2003316	S	65	151	216	0.00004
Pseudoalteromonas sp. PS1M3	87791	S	26	290	316	0.00005
Pseudoalteromonas sp. THAF3	2587843	S	22	54	76	0.00001
Pseudoalteromonas sp. SCSIO 43095	2894202	S	17	63	80	0.00001
Pseudoalteromonas sp. APM04	2699396	S	15	178	193	0.00003
Pseudoalteromonas shioyasakiensis	1190813	S	6719	9782	16501	0.00282
Pseudoalteromonas donghaensis	621376	S	5116	113889	119005	0.02035
Pseudoalteromonas lipolytica	570156	S	650	12635	13285	0.00227
Pseudoalteromonas arabiensis	874454	S	190	2550	2740	0.00047
Pseudoalteromonas nigrifaciens	28109	S	159	1465	1624	0.00028
Pseudoalteromonas rhizosphaerae	2518973	S	142	70	212	0.00004
Pseudoalteromonas tetraodonis	43659	S	105	2488	2593	0.00044
Pseudoalteromonas piscicida	43662	S	72	209	281	0.00005
Pseudoalteromonas prydzensis	182141	S	48	13	61	0.00001
Pseudoalteromonas spongiae	298657	S	39	10	49	0.00001
Pseudoalteromonas mariniglutinosa	206042	S	33	207	240	0.00004
Pseudoalteromonas ruthenica	151081	S	20	50	70	0.00001
Pseudoalteromonas issachenkonii	152297	S	20	328	348	0.00006
Pseudoalteromonas phenolica	161398	S	20	3	23	0.00000
Psychrosphaera ytuae	2820710	S	25	9	34	0.00001
Idiomarina sp. OT37-5b	2100422	S	1859	1777	3636	0.00062
Idiomarina sp. X4	2055892	S	1102	3424	4526	0.00077
Idiomarina piscisalsi	1096243	S	724	2077	2801	0.00048
Idiomarina loihiensis	135577	S	691	511	1202	0.00021
Idiomarina abyssalis	86102	S	381	181	562	0.00010
Shewanella sp. JNE2	2989727	S	35	1141	1176	0.00020
Shewanella sp. FJAT-52072	2864213	S	13	4	17	0.00000
Shewanella chilikensis	558541	S	29	108	137	0.00002
Shewanella algae	38313	S	27	21	48	0.00001
Shewanella putrefaciens	24	S	22	56	78	0.00001
Shewanella psychrophila	225848	S	14	1	15	0.00000
Moritella sp. 5	2746231	S	25	301	326	0.00006
Colwellia sp. M166	2583805	S	31	100	131	0.00002
Marinobacter nauticus	2743	S	303853	89144	392997	0.06721
Marinobacter sp. CP1	1671721	S	99225	441685	540910	0.09251
Marinobacter sp. LQ44	1749259	S	5256	7551	12807	0.00219
Marinobacter sp. Arc7-DN-1	2304594	S	4380	821	5201	0.00089
Marinobacter sp. AN1	2886046	S	3156	1164	4320	0.00074
Marinobacter sp. es.042	1761794	S	2016	3817	5833	0.00100
Marinobacter sp. NP-4(2019)	2488665	S	486	286	772	0.00013
Marinobacter sp. JH2	2547598	S	241	136	377	0.00006
Marinobacter sp.	50741	S	133	35	168	0.00003
Marinobacter salsuginis	418719	S	18881	7567	26448	0.00452
Marinobacter adhaerens	1033846	S	10143	48903	59046	0.01010
Marinobacter salarius	1420917	S	2413	1202	3615	0.00062
Marinobacter salinus	1874317	S	68	9	77	0.00001
Marinobacter similis	1420916	S	42	12	54	0.00001
Marinobacter fonticola	2603215	S	14	1	15	0.00000
Halopseudomonas aestusnigri	857252	S	16699	150903	167602	0.02866
Halopseudomonas sp. RR6	2918528	S	10386	3098	13484	0.00231
Halopseudomonas sp. MFKK-1	3015994	S	4404	27684	32088	0.00549
Halopseudomonas sabulinigri	472181	S	5314	883	6197	0.00106
Halopseudomonas litoralis	797277	S	777	777	1554	0.00027
Pseudomonas aeruginosa	287	S	2718	33134	35852	0.00613
Pseudomonas alcaligenes	43263	S	96	210	306	0.00005
Pseudomonas mendocina	300	S	28	41	69	0.00001
Pseudomonas sp. OIL-1	2706126	S	481	286	767	0.00013
Pseudomonas sp. PP3	2815936	S	368	259	627	0.00011
Pseudomonas sp. PS1(2021)	2866282	S	45	4467	4512	0.00077
Pseudomonas marincola	437900	S	303	151	454	0.00008
Pseudomonas putida	303	S	69	162	231	0.00004
Pseudomonas nanhaiensis	2830842	S	41	14	55	0.00001
Pseudomonas fragi	296	S	25	18	43	0.00001
Pseudomonas wenzhouensis	2906062	S	26	28	54	0.00001
Pseudomonas knackmussii	65741	S	21	38	59	0.00001
Pseudomonas pohangensis	364197	S	18	3	21	0.00000
Stutzerimonas stutzeri	316	S	516	3752	4268	0.00073
Stutzerimonas balearica	74829	S	519	2381	2900	0.00050
Stutzerimonas frequens	2968969	S	14	140	154	0.00003
[Pseudomonas] zhaodongensis	1176257	S	37	207	244	0.00004
Stutzerimonas xanthomarina	271420	S	17	39	56	0.00001
Halomonas meridiana	29570	S	101545	138035	239580	0.04097
Halomonas sp. DN3	2953657	S	44173	8937	53110	0.00908
Halomonas sp. A40-4	2785909	S	8287	3933	12220	0.00209
Halomonas sp. KO116	1504981	S	1304	1270	2574	0.00044
Halomonas sp. 18071143	2855441	S	669	2365	3034	0.00052
Halomonas sp. A3H3	1346287	S	326	11025	11351	0.00194
Halomonas sp. SF2003	2136172	S	228	5919	6147	0.00105
Halomonas sp. Y3	2956797	S	170	203	373	0.00006
Halomonas sp. THAF12	2587849	S	155	227	382	0.00007
Halomonas sp. NyZ770	2883106	S	70	457	527	0.00009
Halomonas sp. PGE1	2730360	S	51	228	279	0.00005
Halomonas sp. BDJS001	2992143	S	43	20	63	0.00001
Halomonas sp. TD01	999141	S	42	48	90	0.00002
Halomonas sp. R57-5	1610576	S	39	33	72	0.00001
Halomonas sp. SH5A2	2749040	S	25	6	31	0.00001
Halomonas sp. HG01	1609967	S	24	21	45	0.00001
Halomonas sp. GD1P12	2982691	S	22	3	25	0.00000
Halomonas sp. 7T	2893469	S	21	21	42	0.00001
Halomonas sp. YLGW01	2773308	S	21	5	26	0.00000
Halomonas sp. FeN2	2832500	S	19	13	32	0.00001
Halomonas sp. XH26	2557993	S	15	191	206	0.00004
Halomonas sp. THAF5a	2587844	S	12	8	20	0.00000
Halomonas piezotolerans	2609667	S	16949	13235	30184	0.00516
Halomonas titanicae	664683	S	344	2587	2931	0.00050
Halomonas hydrothermalis	115561	S	157	586	743	0.00013
Halomonas huangheensis	1178482	S	124	12	136	0.00002
Halomonas venusta	44935	S	38	56	94	0.00002
Halomonas elongata	2746	S	28	3	31	0.00001
Halomonas sulfidivorans	2733488	S	26	6	32	0.00001
Halomonas qaidamensis	2866211	S	12	85	97	0.00002
Chromohalobacter salexigens	158080	S	21016	4541	25557	0.00437
Cobetia sp. AM6	2661553	S	324	7842	8166	0.00140
Cobetia sp. 4B	2758724	S	186	3438	3624	0.00062
Cobetia sp. cqz5-12	2609415	S	28	151	179	0.00003
Cobetia amphilecti	1055104	S	386	9949	10335	0.00177
Cobetia pacifica	1055101	S	38	266	304	0.00005
Kushneria phosphatilytica	657387	S	577	35	612	0.00010
Kushneria konosiri	698828	S	497	279	776	0.00013
Kushneria marisflavi	157779	S	142	77	219	0.00004
Pistricoccus aurantiacus	1883414	S	71	7	78	0.00001
Salinicola tamaricis	1771309	S	12	2	14	0.00000
Alcanivorax sp. ALC70	2259335	S	12115	11970	24085	0.00412
Alcanivorax sp. N3-2A	2014542	S	264	570	834	0.00014
Alcanivorax borkumensis	59754	S	142	599	741	0.00013
Ketobacter alkanivorans	1917421	S	2028	163	2191	0.00037
Alloalcanivorax xenomutans	1094342	S	66	109	175	0.00003
Isoalcanivorax pacificus	1306787	S	39	22	61	0.00001
Thalassolituus oleivorans	187493	S	760	337	1097	0.00019
Thalassolituus sp. C2-1	2597518	S	14	10	24	0.00000
Thalassolituus hydrocarbonoclasticus	2742796	S	14	11	25	0.00000
Marinobacterium georgiense	48076	S	252	293	545	0.00009
Marinobacterium sediminicola	518898	S	37	34	71	0.00001
Neptunomonas phycophila	1572645	S	94	12	106	0.00002
Neptunomonas japonica	417574	S	18	2	20	0.00000
Aliamphritea ceti	1524258	S	89	32	121	0.00002
Venatorbacter cucullus	2661630	S	65	25	90	0.00002
Hahella sp. KA22	1628392	S	39	2	41	0.00001
Psychrobacter sp. KCTC 72983	2733866	S	1381	8591	9972	0.00171
Psychrobacter sp. AntiMn-1	1720344	S	582	8688	9270	0.00159
Psychrobacter sp. KH172YL61	2517899	S	581	6463	7044	0.00120
Psychrobacter sp. P11G5	1699624	S	424	2160	2584	0.00044
Psychrobacter sp. L7	1982756	S	189	1359	1548	0.00026
Psychrobacter sp. 4Bb	888436	S	64	531	595	0.00010
Psychrobacter sp.	56811	S	52	185	237	0.00004
Psychrobacter sp. WY6	2708350	S	48	91	139	0.00002
Psychrobacter sp. P2G3	1699622	S	18	78	96	0.00002
Psychrobacter sp. P11G3	1699623	S	17	17	34	0.00001
Psychrobacter sp. 28M-43	2772254	S	15	16	31	0.00001
Psychrobacter sp. P11F6	1699621	S	14	29	43	0.00001
Psychrobacter sanguinis	861445	S	47	92	139	0.00002
Psychrobacter cryohalolentis	330922	S	14	320	334	0.00006
Acinetobacter venetianus	52133	S	691	1085	1776	0.00030
Acinetobacter baylyi	202950	S	195	160	355	0.00006
Acinetobacter baumannii	470	S	30	808	838	0.00014
Acinetobacter johnsonii	40214	S	43	246	289	0.00005
Acinetobacter towneri	202956	S	32	361	393	0.00007
Acinetobacter variabilis	70346	S	26	220	246	0.00004
Acinetobacter lwoffii	28090	S	20	166	186	0.00003
Acinetobacter junii	40215	S	15	27	42	0.00001
Moraxella osloensis	34062	S	261	228	489	0.00008
Vibrio chagasii	170679	S	2257	6199	8456	0.00145
Vibrio diabolicus	50719	S	82	3089	3171	0.00054
Vibrio campbellii	680	S	235	5159	5394	0.00092
Vibrio parahaemolyticus	670	S	59	309	368	0.00006
Vibrio alginolyticus	663	S	22	2014	2036	0.00035
Vibrio tubiashii	29498	S	224	280	504	0.00009
Vibrio lentus	136468	S	124	1055	1179	0.00020
Vibrio bathopelagicus	2777577	S	89	584	673	0.00012
Vibrio cidicii	1763883	S	61	580	641	0.00011
Vibrio splendidus	29497	S	59	1198	1257	0.00021
Vibrio gigantis	296199	S	52	318	370	0.00006
Vibrio sp. J383	2942997	S	18	507	525	0.00009
Vibrio cyclitrophicus	47951	S	43	591	634	0.00011
Vibrio furnissii	29494	S	40	124	164	0.00003
Vibrio penaeicida	104609	S	40	79	119	0.00002
Vibrio atlanticus	693153	S	34	342	376	0.00006
Vibrio cholerae	666	S	27	423	450	0.00008
Vibrio tapetis	52443	S	24	9	33	0.00001
Vibrio crassostreae	246167	S	19	240	259	0.00004
Vibrio vulnificus	672	S	18	32	50	0.00001
Vibrio fluvialis	676	S	17	338	355	0.00006
Vibrio anguillarum	55601	S	13	367	380	0.00006
Vibrio echinoideorum	2100116	S	12	81	93	0.00002
Vibrio coralliilyticus	190893	S	12	195	207	0.00004
Photobacterium toruni	1935446	S	16	20	36	0.00001
Salinivibrio kushneri	1908198	S	14	5	19	0.00000
Candidatus Pseudothioglobus singularis	1427364	S	5836	2550	8386	0.00143
Candidatus Thioglobus sp. NP1	2508687	S	1469	710	2179	0.00037
Candidatus Thioglobus autotrophicus	1705394	S	561	86	647	0.00011
Pseudohongiella spirulinae	1249552	S	12	0	12	0.00000
Spongiibacter sp. IMCC21906	1620392	S	1631	846	2477	0.00042
Spongiibacter nanhainus	2794344	S	543	124	667	0.00011
Zhongshania aliphaticivorans	1470434	S	472	61	533	0.00009
Marinimicrobium sp. C6131	3022676	S	214	100	314	0.00005
Marinagarivorans cellulosilyticus	2721545	S	89	89	178	0.00003
Simiduia agarivorans	447471	S	33	4	37	0.00001
Saccharophagus degradans	86304	S	28	7	35	0.00001
Gilvimarinus sp. DA14	2956798	S	14	3	17	0.00000
Congregibacter litoralis	393662	S	36	82	118	0.00002
Aequoribacter fuscus	2518989	S	21	37	58	0.00001
Microbulbifer sp. SH-1	2681547	S	35	7	42	0.00001
Klebsiella quasipneumoniae	1463165	S	54	6667	6721	0.00115
Klebsiella pneumoniae	573	S	43	1693	1736	0.00030
Enterobacter sp. E20	1560339	S	66	1539	1605	0.00027
Escherichia coli	562	S	35	1418	1453	0.00025
Providencia rettgeri	587	S	101	332	433	0.00007
Proteus sp. NMG38-2	2883107	S	13	156	169	0.00003
Proteus mirabilis	584	S	12	34	46	0.00001
Pantoea sp. CCBC3-3-1	2490851	S	41	21	62	0.00001
Rahnella inusitata	58169	S	19	17	36	0.00001
Yersinia enterocolitica	630	S	13	100	113	0.00002
Methylophaga nitratireducenticrescens	754476	S	214	64	278	0.00005
Methylophaga pinxianii	2881052	S	104	93	197	0.00003
Methylophaga frappieri	754477	S	53	60	113	0.00002
Stenotrophomonas maltophilia	40324	S	48	143	191	0.00003
Xanthomonas citri	346	S	15	95	110	0.00002
Xanthomonas hydrangeae	2775159	S	13	6	19	0.00000
Xanthomonas campestris	339	S	12	6	18	0.00000
Luteimonas fraxinea	2901869	S	23	10	33	0.00001
Aeromonas media	651	S	118	218	336	0.00006
Aeromonas sanarellii	633415	S	104	588	692	0.00012
Aeromonas veronii	654	S	30	69	99	0.00002
Legionella spiritensis	452	S	52	21	73	0.00001
Legionella lytica	96232	S	21	3	24	0.00000
Legionella pneumophila	446	S	18	98	116	0.00002
Legionella fallonii	96230	S	14	3	17	0.00000
Acidihalobacter ferrooxydans	1765967	S	30	8	38	0.00001
Thioalkalivibrio sulfidiphilus	1033854	S	13	18	31	0.00001
Kangiella profundi	1561924	S	55	20	75	0.00001
Haemophilus parainfluenzae	729	S	24	23	47	0.00001
Salinisphaera sp. LB1	2183911	S	28	1	29	0.00000
Methylocaldum marinum	1432792	S	15	2	17	0.00000
Candidatus Comchoanobacter bicostacola	2919598	S	13	0	13	0.00000
Erythrobacter sp. A30-3	2785907	S	145580	88371	233951	0.04001
Erythrobacter sp. 3-20A1M	2653850	S	645	379	1024	0.00018
Erythrobacter sp. THAF29	2587851	S	117	26	143	0.00002
Erythrobacter sp. SDW2	2907154	S	27	6	33	0.00001
Erythrobacter sp. JK5	2829500	S	23	8	31	0.00001
Erythrobacter aureus	2182384	S	9935	1625	11560	0.00198
Erythrobacter litoralis	39960	S	876	580	1456	0.00025
Erythrobacter mangrovi	2739433	S	34	15	49	0.00001
Erythrobacter neustonensis	1112	S	15	4	19	0.00000
Porphyrobacter sp. CACIAM 03H1	2003315	S	45	15	60	0.00001
Porphyrobacter sp. HT-58-2	2023229	S	16	5	21	0.00000
Porphyrobacter sp. LM 6	1896196	S	15	10	25	0.00000
Qipengyuania flava	192812	S	60900	35253	96153	0.01644
Qipengyuania sp. PHS-Z21	2909673	S	331	171	502	0.00009
Qipengyuania sp. SS22	2979461	S	126	24	150	0.00003
Qipengyuania aurantiaca	2867233	S	106	42	148	0.00003
Qipengyuania seohaensis	266951	S	68	19	87	0.00001
Qipengyuania gelatinilytica	2867231	S	66	18	84	0.00001
Croceicoccus sp. Ery15	1703338	S	1378	1739	3117	0.00053
Croceicoccus sp. Ery5	1703340	S	887	566	1453	0.00025
Croceicoccus sp. YJ47	2798724	S	299	416	715	0.00012
Croceicoccus marinus	450378	S	1159	702	1861	0.00032
Croceicoccus naphthovorans	1348774	S	325	548	873	0.00015
Aurantiacibacter atlanticus	1648404	S	1875	769	2644	0.00045
Tsuneonella flava	2055955	S	643	165	808	0.00014
Altererythrobacter sp. B11	2060312	S	376	156	532	0.00009
Altererythrobacter sp. TH136	2067415	S	23	5	28	0.00000
Altererythrobacter epoxidivorans	361183	S	52	12	64	0.00001
Croceibacterium atlanticum	1267766	S	408	144	552	0.00009
Pelagerythrobacter marensis	543877	S	28	3	31	0.00001
Sphingobium xenophagum	121428	S	50444	89126	139570	0.02387
Sphingobium yanoikuyae	13690	S	6690	20814	27504	0.00470
Sphingobium sp. KCTC 72723	2733867	S	1221	349	1570	0.00027
Sphingobium sp. YG1	2082188	S	703	813	1516	0.00026
Sphingobium sp. CFD-1	2878545	S	693	6821	7514	0.00129
Sphingobium sp. AntQ-1	2930091	S	442	324	766	0.00013
Sphingobium sp. TKS	1315974	S	250	1173	1423	0.00024
Sphingobium sp. YBL2	484429	S	147	3271	3418	0.00058
Sphingobium sp. RAC03	1843368	S	134	69	203	0.00003
Sphingobium sp. PAMC28499	2565554	S	82	188	270	0.00005
Sphingobium sp. RSMS	520734	S	74	814	888	0.00015
Sphingobium sp. SYK-6	627192	S	74	58	132	0.00002
Sphingobium sp. JS3065	2970925	S	64	190	254	0.00004
Sphingobium sp. YC-XJ3	3024245	S	52	1286	1338	0.00023
Sphingobium sp. LB126	1983755	S	49	263	312	0.00005
Sphingobium sp. CAP-1	2676077	S	26	45	71	0.00001
Sphingobium sp. SCG-1	2072936	S	20	1	21	0.00000
Sphingobium sp. EP60837	1855519	S	15	14	29	0.00000
Sphingobium sp. CFD-2	2878542	S	13	176	189	0.00003
Sphingobium fuliginis	336203	S	805	4838	5643	0.00097
Sphingobium amiense	135719	S	184	725	909	0.00016
Sphingobium cloacae	120107	S	182	895	1077	0.00018
Sphingobium herbicidovorans	76947	S	132	404	536	0.00009
Sphingobium baderi	1332080	S	123	1180	1303	0.00022
Sphingobium phenoxybenzoativorans	1592790	S	78	96	174	0.00003
Sphingobium indicum	332055	S	61	213	274	0.00005
Citromicrobium sp. JL477	1634516	S	12346	4999	17345	0.00297
Sphingomonas sp. NBWT7	2596913	S	1311	946	2257	0.00039
Sphingomonas sp. MEA3-1	1647414	S	226	5161	5387	0.00092
Sphingomonas sp. IC081	304378	S	40	335	375	0.00006
Sphingomonas sp. NIC1	1961362	S	34	102	136	0.00002
Sphingomonas sp. ERG5	1381597	S	24	59	83	0.00001
Sphingomonas sp. LK11	1390395	S	18	23	41	0.00001
Sphingomonas sp. FARSPH	2219696	S	14	20	34	0.00001
Sphingomonas bisphenolicum	296544	S	940	1742	2682	0.00046
Sphingomonas sanxanigenens	397260	S	878	1178	2056	0.00035
Sphingomonas hankookensis	563996	S	832	963	1795	0.00031
Sphingomonas paucimobilis	13689	S	487	463	950	0.00016
Sphingomonas melonis	152682	S	353	4419	4772	0.00082
Sphingomonas koreensis	93064	S	201	328	529	0.00009
Sphingomonas naphthae	1813468	S	183	122	305	0.00005
Sphingomonas profundi	2681549	S	19	3	22	0.00000
Sphingomonas aliaeris	2759526	S	15	2	17	0.00000
Sphingomonas taxi	1549858	S	14	4	18	0.00000
Novosphingopyxis iocasae	2762729	S	7211	3955	11166	0.00191
Novosphingobium sp. PP1Y	702113	S	1235	1409	2644	0.00045
Novosphingobium sp. KA1	164608	S	817	5533	6350	0.00109
Novosphingobium sp. EMRT-2	2571749	S	797	1149	1946	0.00033
Novosphingobium sp. ES2-1	2780074	S	30	24	54	0.00001
Novosphingobium sp. P6W	1609758	S	14	2	16	0.00000
Novosphingobium pentaromativorans	205844	S	440	989	1429	0.00024
Novosphingobium decolorationis	2698673	S	370	408	778	0.00013
Novosphingobium resinovorum	158500	S	271	385	656	0.00011
Novosphingobium aromaticivorans	48935	S	115	1748	1863	0.00032
Novosphingobium humi	2282397	S	13	2	15	0.00000
Sphingopyxis sp. EG6	1874061	S	528	514	1042	0.00018
Sphingopyxis sp. 113P3	292913	S	225	290	515	0.00009
Sphingopyxis sp. FD7	1914525	S	195	194	389	0.00007
Sphingopyxis sp. MG	1866325	S	186	711	897	0.00015
Sphingopyxis sp. PET50	2976533	S	43	19	62	0.00001
Sphingopyxis sp. DBS4	2968500	S	30	60	90	0.00002
Sphingopyxis macrogoltabida	33050	S	1189	948	2137	0.00037
Sphingopyxis terrae	33052	S	682	1587	2269	0.00039
Sphingopyxis fribergensis	1515612	S	448	161	609	0.00010
Sphingopyxis alaskensis	117207	S	246	47	293	0.00005
Sphingopyxis granuli	267128	S	43	76	119	0.00002
Blastomonas sp. RAC04	1842535	S	138	662	800	0.00014
Blastomonas fulva	1550728	S	123	811	934	0.00016
Sphingosinithalassobacter tenebrarum	2711215	S	222	66	288	0.00005
Rhizorhabdus dicambivorans	1850238	S	29	82	111	0.00002
Rhizorhabdus wittichii	160791	S	25	41	66	0.00001
Tardibacter chloracetimidivorans	1921510	S	34	94	128	0.00002
Sphingosinicella microcystinivorans	335406	S	21	37	58	0.00001
Sandaracinobacteroides saxicola	2759707	S	15	1	16	0.00000
Sulfitobacter faviae	1775881	S	11044	15685	26729	0.00457
Sulfitobacter sp. SK025	1389011	S	833	11635	12468	0.00213
Sulfitobacter sp. D7	1968541	S	150	4023	4173	0.00071
Sulfitobacter sp. W074	2867026	S	149	3134	3283	0.00056
Sulfitobacter sp. W027	2867025	S	140	287	427	0.00007
Sulfitobacter sp. W002	2867024	S	99	652	751	0.00013
Sulfitobacter sp. THAF37	2587855	S	69	141	210	0.00004
Sulfitobacter sp. DSM 110093	2883127	S	68	167	235	0.00004
Sulfitobacter sp. CB2047	1525218	S	19	488	507	0.00009
Sulfitobacter alexandrii	1917485	S	647	1326	1973	0.00034
Sulfitobacter pontiacus	60137	S	276	4168	4444	0.00076
Sulfitobacter dubius	218673	S	138	555	693	0.00012
Sulfitobacter indolifex	225422	S	60	73	133	0.00002
Sulfitobacter mediterraneus	83219	S	51	174	225	0.00004
Salipiger profundus	1229727	S	22965	21815	44780	0.00766
Salipiger abyssi	1250539	S	218	233	451	0.00008
Salipiger sp. CCB-MM3	1792508	S	28	3	31	0.00001
Actibacterium sp. EMB200-NS6	1609966	S	11370	13397	24767	0.00424
