name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Candidatus Marinimicrobia bacterium UBA6531	1953244	S	1863258	347345	2210603	0.07436
Candidatus Marinimicrobia bacterium UBA2125	1953217	S	1719851	608055	2327906	0.07831
Candidatus Marinimicrobia bacterium UBA7301	1953255	S	1445231	65513	1510744	0.05082
Candidatus Marinimicrobia bacterium UBA7300	1953254	S	1370982	186331	1557313	0.05239
Candidatus Marinimicrobia bacterium UBA7308	1953257	S	1131555	23568	1155123	0.03886
Candidatus Marinimicrobia bacterium UBA7303	1953256	S	625339	118272	743611	0.02501
Candidatus Marinimicrobia bacterium	2026760	S	406487	48941	455428	0.01532
Candidatus Marinimicrobia bacterium 408169	1958814	S	5864	248	6112	0.00021
Marinimicrobia bacterium TCS55	1781246	S	2163	80	2243	0.00008
Candidatus Marinimicrobia bacterium REDSEA-S14_B6	1811603	S	1447	90	1537	0.00005
Candidatus Marinimicrobia bacterium UBA1611	1953216	S	1395	223	1618	0.00005
Candidatus Marinimicrobia bacterium UBA1134	1953213	S	1286	89	1375	0.00005
Candidatus Marinimicrobia bacterium UBA6931	1953249	S	629	12	641	0.00002
Candidatus Marinimicrobia bacterium UBA2986	1953231	S	385	8	393	0.00001
uncultured Candidatus Marinimicrobia bacterium	195045	S	270	60	330	0.00001
Marinimicrobia bacterium SCGC AAA003-L08	939844	S	85	0	85	0.00000
Mesonia mobilis	369791	S	5461	9108	14569	0.00049
Mesonia oceanica	2687242	S	1983	928	2911	0.00010
Mesonia sp.	1960830	S	360	457	817	0.00003
Mesonia aquimarina	1504967	S	77	46	123	0.00000
Mesonia phycicola	579105	S	23	3	26	0.00000
Leeuwenhoekiella blandensis	360293	S	6083	4183	10266	0.00035
Leeuwenhoekiella aequorea	283736	S	128	88	216	0.00001
Leeuwenhoekiella palythoae	573501	S	71	21	92	0.00000
Leeuwenhoekiella nanhaiensis	1655491	S	43	22	65	0.00000
Flavobacteriaceae bacterium	1871037	S	3255	934	4189	0.00014
Flavobacteriaceae bacterium UBA3356	1951828	S	19	29	48	0.00000
Flavobacteriaceae bacterium UBA3611	1951834	S	14	7	21	0.00000
Zunongwangia profunda	398743	S	1364	1821	3185	0.00011
Zunongwangia mangrovi	1334022	S	33	16	49	0.00000
Zunongwangia atlantica	1502297	S	30	21	51	0.00000
Salegentibacter sp. R32	1486285	S	363	224	587	0.00002
Salegentibacter sp. Hel_I_6	1250278	S	19	25	44	0.00000
Salegentibacter mishustinae	270918	S	208	520	728	0.00002
Salegentibacter agarivorans	345907	S	85	140	225	0.00001
Muricauda ruestringensis	111501	S	346	212	558	0.00002
Muricauda sp.	192149	S	172	93	265	0.00001
Muricauda sp. ARW1Y1	2663843	S	30	6	36	0.00000
Muricauda oceanensis	2499163	S	72	58	130	0.00000
Maribacter dokdonensis	320912	S	377	136	513	0.00002
Maribacter litoralis	2059726	S	168	136	304	0.00001
Winogradskyella sp.	1883156	S	335	134	469	0.00002
Croceivirga radicis	1929488	S	255	75	330	0.00001
Mesoflavibacter zeaxanthinifaciens	393060	S	107	52	159	0.00001
Gramella sp. Hel_I_59	1249978	S	25	36	61	0.00000
Kordia sp. TARA_039_SRF	2530203	S	54	17	71	0.00000
Cellulophaga sp. Hel_I_12	1249972	S	48	17	65	0.00000
Mariniflexile fucanivorans	264023	S	22	1	23	0.00000
Nonlabens spongiae	331648	S	16	6	22	0.00000
Flavobacteriales bacterium UBA7878	1951087	S	7762	1751	9513	0.00032
Flavobacteriales bacterium	2021391	S	2572	301	2873	0.00010
Flavobacteriales bacterium UBA5081	1951031	S	554	40	594	0.00002
Flavobacteriales bacterium UBA6770	1951056	S	126	5	131	0.00000
Flavobacteriales bacterium UBA2104	1950971	S	93	5	98	0.00000
Crocinitomicaceae bacterium	2026728	S	1289	166	1455	0.00005
Owenweeksia sp.	2024847	S	35	0	35	0.00000
Croceimicrobium hydrocarbonivorans	2761580	S	25	8	33	0.00000
Cryomorphaceae bacterium	1898111	S	26	5	31	0.00000
uncultured Flavobacteriales bacterium	213322	S	14	1	15	0.00000
Bacteroidota bacterium	1898104	S	54093	4053	58146	0.00196
Algoriphagus algorifonticola	2593007	S	529	1203	1732	0.00006
Algoriphagus ornithinivorans	226506	S	420	772	1192	0.00004
Roseivirga spongicola	333140	S	1116	93	1209	0.00004
Roseivirga sp. UBA6052	1947389	S	72	0	72	0.00000
Roseivirga pacifica	1267423	S	33	2	35	0.00000
Roseivirga seohaensis	1914963	S	28	11	39	0.00000
Cytophagaceae bacterium	2026729	S	90	16	106	0.00000
Flammeovirgaceae bacterium	2026740	S	22	10	32	0.00000
uncultured Marinoscillum sp.	932004	S	19	2	21	0.00000
