name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas macleodii	28108	S	440577	137891	578468	0.36995
Alteromonas mediterranea	314275	S	57449	19768	77217	0.04938
Alteromonas sp. RKMC-009	2267264	S	669	42	711	0.00045
Alteromonas sp. RW2A1	1917158	S	378	1765	2143	0.00137
Alteromonas sp. MB-3u-76	2058133	S	189	666	855	0.00055
Alteromonas sp. B31-7	2785913	S	181	1729	1910	0.00122
Alteromonas sp. 009811495	3002962	S	102	107	209	0.00013
Alteromonas sp. BL110	1714845	S	33	6	39	0.00002
Alteromonas sp. LMIT006	2961948	S	15	1	16	0.00001
Alteromonas australica	589873	S	583	2287	2870	0.00184
Alteromonas naphthalenivorans	715451	S	46	37	83	0.00005
Salinimonas sediminis	2303538	S	328	71	399	0.00026
Salinimonas iocasae	2572577	S	95	28	123	0.00008
Gayadomonas joobiniege	1234606	S	25	0	25	0.00002
Pseudoalteromonas sp. SCSIO 43088	2822846	S	9489	33865	43354	0.02773
Pseudoalteromonas sp. CF6-2	562716	S	2913	57277	60190	0.03849
Pseudoalteromonas sp. Xi13	2490635	S	1444	27253	28697	0.01835
Pseudoalteromonas sp. SCSIO 43101	2822847	S	447	828	1275	0.00082
Pseudoalteromonas sp. LC2018020214	2799564	S	242	7756	7998	0.00512
Pseudoalteromonas sp. MT33b	2759705	S	233	18809	19042	0.01218
Pseudoalteromonas sp. SCSIO 43095	2894202	S	199	2135	2334	0.00149
Pseudoalteromonas sp. PS1M3	87791	S	144	3951	4095	0.00262
Pseudoalteromonas sp. 3J6	649161	S	140	2620	2760	0.00177
Pseudoalteromonas sp. APM04	2699396	S	114	3524	3638	0.00233
Pseudoalteromonas sp. SM9913	234831	S	59	5042	5101	0.00326
Pseudoalteromonas sp. M8	2692624	S	48	3256	3304	0.00211
Pseudoalteromonas sp. SiA1	2839744	S	42	2574	2616	0.00167
Pseudoalteromonas sp. BSi20327	383749	S	36	0	36	0.00002
Pseudoalteromonas sp. GCY	2003316	S	33	237	270	0.00017
Pseudoalteromonas sp. JSTW	2752475	S	29	2549	2578	0.00165
Pseudoalteromonas sp. 1_2015MBL_MicDiv	1720343	S	28	295	323	0.00021
Pseudoalteromonas sp. KAN5	2916633	S	27	1074	1101	0.00070
Pseudoalteromonas sp. Bsw20308	283699	S	26	277	303	0.00019
Pseudoalteromonas sp. 13-15	1761891	S	15	444	459	0.00029
Pseudoalteromonas sp. DL-6	1390185	S	15	73	88	0.00006
Pseudoalteromonas sp. NC201	1514074	S	13	466	479	0.00031
Pseudoalteromonas rhizosphaerae	2518973	S	2907	3027	5934	0.00380
Pseudoalteromonas agarivorans	176102	S	2815	49772	52587	0.03363
Pseudoalteromonas shioyasakiensis	1190813	S	2183	7239	9422	0.00603
Pseudoalteromonas donghaensis	621376	S	861	63603	64464	0.04123
Pseudoalteromonas atlantica	288	S	347	10780	11127	0.00712
Pseudoalteromonas lipolytica	570156	S	241	16630	16871	0.01079
Pseudoalteromonas carrageenovora	227	S	210	389	599	0.00038
Pseudoalteromonas arabiensis	874454	S	203	9610	9813	0.00628
Pseudoalteromonas mariniglutinosa	206042	S	196	4425	4621	0.00296
Pseudoalteromonas nigrifaciens	28109	S	187	5916	6103	0.00390
Pseudoalteromonas prydzensis	182141	S	145	95	240	0.00015
Pseudoalteromonas arctica	394751	S	67	313	380	0.00024
Pseudoalteromonas tetraodonis	43659	S	63	5228	5291	0.00338
Pseudoalteromonas distincta	77608	S	58	1293	1351	0.00086
Pseudoalteromonas spongiae	298657	S	50	24	74	0.00005
Pseudoalteromonas marina	267375	S	48	1276	1324	0.00085
Pseudoalteromonas espejiana	28107	S	40	53	93	0.00006
Pseudoalteromonas issachenkonii	152297	S	35	2006	2041	0.00131
Pseudoalteromonas undina	43660	S	34	503	537	0.00034
Pseudoalteromonas ulvae	107327	S	14	2	16	0.00001
Psychrosphaera ytuae	2820710	S	31	15	46	0.00003
Idiomarina loihiensis	135577	S	347	166	513	0.00033
Idiomarina sp. OT37-5b	2100422	S	63	36	99	0.00006
Idiomarina sp. X4	2055892	S	45	136	181	0.00012
Idiomarina piscisalsi	1096243	S	30	84	114	0.00007
Idiomarina abyssalis	86102	S	12	4	16	0.00001
Shewanella sp. JNE2	2989727	S	12	148	160	0.00010
Colwellia sp. M166	2583805	S	41	12	53	0.00003
Marinobacter sp. CP1	1671721	S	4880	23749	28629	0.01831
Marinobacter sp. Arc7-DN-1	2304594	S	426	66	492	0.00031
Marinobacter sp. es.042	1761794	S	125	267	392	0.00025
Marinobacter sp. AN1	2886046	S	65	16	81	0.00005
Marinobacter sp. LQ44	1749259	S	57	75	132	0.00008
Marinobacter sp.	50741	S	23	5	28	0.00002
Marinobacter adhaerens	1033846	S	1238	6933	8171	0.00523
Marinobacter salarius	1420917	S	1117	511	1628	0.00104
Marinobacter nauticus	2743	S	777	358	1135	0.00073
Marinobacter salsuginis	418719	S	286	122	408	0.00026
Halopseudomonas aestusnigri	857252	S	1006	4100	5106	0.00327
Halopseudomonas sp. RR6	2918528	S	269	64	333	0.00021
Halopseudomonas sp. MFKK-1	3015994	S	64	159	223	0.00014
Halopseudomonas sabulinigri	472181	S	66	7	73	0.00005
Pseudomonas aeruginosa	287	S	128	1160	1288	0.00082
Pseudomonas brenneri	129817	S	42	18	60	0.00004
Stutzerimonas stutzeri	316	S	141	682	823	0.00053
Halomonas meridiana	29570	S	10914	7799	18713	0.01197
Halomonas piezotolerans	2609667	S	615	296	911	0.00058
Halomonas sp. KO116	1504981	S	82	41	123	0.00008
Halomonas sp. 18071143	2855441	S	47	108	155	0.00010
Halomonas sp. A3H3	1346287	S	32	954	986	0.00063
Halomonas titanicae	664683	S	36	226	262	0.00017
Chromohalobacter salexigens	158080	S	36	2	38	0.00002
Kushneria marisflavi	157779	S	19	0	19	0.00001
Thalassolituus oleivorans	187493	S	819	127	946	0.00061
Alcanivorax sp. ALC70	2259335	S	22	147	169	0.00011
Psychrobacter sp. KCTC 72983	2733866	S	13	196	209	0.00013
Psychrobacter sp. KH172YL61	2517899	S	12	322	334	0.00021
Acinetobacter venetianus	52133	S	28	57	85	0.00005
Acinetobacter johnsonii	40214	S	19	206	225	0.00014
Kangiella geojedonensis	914150	S	818	34	852	0.00054
Methylophaga pinxianii	2881052	S	192	95	287	0.00018
Methylophaga nitratireducenticrescens	754476	S	141	33	174	0.00011
Methylophaga frappieri	754477	S	13	7	20	0.00001
Francisella sp. FSC1006	1547445	S	24	5	29	0.00002
Vibrio harveyi	669	S	15	300	315	0.00020
Klebsiella pneumoniae	573	S	24	342	366	0.00023
Spongiibacter sp. IMCC21906	1620392	S	20	11	31	0.00002
Spongiibacter nanhainus	2794344	S	15	5	20	0.00001
Congregibacter litoralis	393662	S	14	11	25	0.00002
Rheinheimera mangrovi	2498451	S	32	25	57	0.00004
Pseudoxanthomonas sp. X-1	2571115	S	25	27	52	0.00003
Sulfitobacter sp. SK025	1389011	S	2456	77334	79790	0.05103
Sulfitobacter sp. W027	2867025	S	234	942	1176	0.00075
Sulfitobacter sp. CB2047	1525218	S	111	6128	6239	0.00399
Sulfitobacter sp. W074	2867026	S	86	1701	1787	0.00114
Sulfitobacter sp. D7	1968541	S	69	2207	2276	0.00146
Sulfitobacter sp. BSw21498	664426	S	52	92	144	0.00009
Sulfitobacter sp. W002	2867024	S	39	273	312	0.00020
Sulfitobacter sp. DSM 110093	2883127	S	36	177	213	0.00014
Sulfitobacter sp. DFL14	1179815	S	33	22	55	0.00004
Sulfitobacter sp. THAF37	2587855	S	16	102	118	0.00008
Sulfitobacter pontiacus	60137	S	1474	52705	54179	0.03465
