name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas macleodii	28108	S	62341	144989	207330	0.12988
Alteromonas mediterranea	314275	S	5126	7166	12292	0.00770
Alteromonas australica	589873	S	2771	1338	4109	0.00257
Alteromonas abrolhosensis	1892904	S	2633	3789	6422	0.00402
Alteromonas genovensis	471225	S	2453	2359	4812	0.00301
Alteromonas marina	203795	S	872	1936	2808	0.00176
Alteromonas sp. IB21	2779369	S	166	249	415	0.00026
Alteromonas sp. KUL106	2480799	S	164	142	306	0.00019
Alteromonas sp. KUL42	2480797	S	73	24	97	0.00006
Alteromonas sp. LOR	1537994	S	44	40	84	0.00005
Alteromonas sp. RKMC-009	2267264	S	40	8	48	0.00003
Alteromonas sp. ALT199	1298865	S	19	103	122	0.00008
Alteromonas sp. 38	2653129	S	14	22	36	0.00002
Alteromonas sp. MMG017	2822692	S	14	23	37	0.00002
Alteromonas oceanisediminis	2836180	S	394	85	479	0.00030
Alteromonas hispanica	315421	S	341	61	402	0.00025
Alteromonas profundi	2696062	S	140	83	223	0.00014
Alteromonas oceani	2071609	S	130	554	684	0.00043
Alteromonas alba	2079529	S	121	1046	1167	0.00073
Alteromonas portus	2565549	S	117	135	252	0.00016
Alteromonas gracilis	1479524	S	114	89	203	0.00013
Alteromonas antoniana	2803813	S	87	69	156	0.00010
Alteromonas naphthalenivorans	715451	S	71	134	205	0.00013
Alteromonas pelagimontana	1858656	S	14	2	16	0.00001
Salinimonas lutimaris	914153	S	14	4	18	0.00001
Alteromonadaceae bacterium	1916082	S	297	147	444	0.00028
Alteromonadaceae bacterium UBA2620	1951386	S	94	392	486	0.00030
Paraglaciecola polaris	222814	S	13	5	18	0.00001
Pseudoalteromonas atlantica	288	S	3566	6180	9746	0.00611
Pseudoalteromonas tetraodonis	43659	S	1366	5019	6385	0.00400
Pseudoalteromonas marina	267375	S	686	959	1645	0.00103
Pseudoalteromonas sp. DL-6	1390185	S	91	304	395	0.00025
Pseudoalteromonas sp.	53249	S	36	125	161	0.00010
Pseudoalteromonas sp. 0303	2743618	S	27	233	260	0.00016
Pseudoalteromonas sp. P1-25	1723758	S	23	28	51	0.00003
Pseudoalteromonas sp. Z1A8	2686354	S	15	41	56	0.00004
Pseudoalteromonas undina	43660	S	229	866	1095	0.00069
Pseudoalteromonas haloplanktis	228	S	162	113	275	0.00017
Pseudoalteromonas prydzensis	182141	S	121	135	256	0.00016
Pseudoalteromonas nigrifaciens	28109	S	41	163	204	0.00013
Pseudoalteromonas phenolica	161398	S	40	7	47	0.00003
Pseudoalteromonas shioyasakiensis	1190813	S	39	263	302	0.00019
Pseudoalteromonas lipolytica	570156	S	31	74	105	0.00007
Pseudoalteromonas carrageenovora	227	S	23	53	76	0.00005
Pseudoalteromonas espejiana	28107	S	17	21	38	0.00002
Pseudoalteromonas distincta	77608	S	14	88	102	0.00006
Idiomarina loihiensis	135577	S	255	145	400	0.00025
Idiomarinaceae bacterium	1898113	S	40	15	55	0.00003
Colwellia sp.	56799	S	12	21	33	0.00002
Shewanella inventionis	1738770	S	21	9	30	0.00002
Gammaproteobacteria bacterium	1913989	S	87768	17702	105470	0.06607
Gammaproteobacteria bacterium UBA3532	1948611	S	314	151	465	0.00029
gamma proteobacterium SCGC AAA007-O20	913327	S	133	52	185	0.00012
Gammaproteobacteria bacterium UBA1119	1948582	S	37	11	48	0.00003
Gammaproteobacteria bacterium UBA6940	1948640	S	32	4	36	0.00002
gamma proteobacterium SCGC AB-629-P17	1131274	S	32	34	66	0.00004
Halomonas aquamarina	77097	S	1525	7665	9190	0.00576
Halomonas lionensis	1144478	S	151	612	763	0.00048
Halomonas piezotolerans	2609667	S	120	164	284	0.00018
Halomonas sp. UBA3074	1946584	S	40	71	111	0.00007
Halomonas sp.	1486246	S	14	10	24	0.00002
Halomonas meridiana	29570	S	27	47	74	0.00005
Halomonas salicampi	1449798	S	21	8	29	0.00002
Halomonas sulfidaeris	115553	S	17	7	24	0.00002
Halomonas stevensii	502821	S	12	56	68	0.00004
Salinicola salarius	430457	S	44	32	76	0.00005
Oceanospirillaceae bacterium	1899355	S	5668	1539	7207	0.00451
Thalassolituus oleivorans	187493	S	412	192	604	0.00038
Thalassolituus sp. UBA2107	1947659	S	201	996	1197	0.00075
Thalassolituus sp. C2-1	2597518	S	58	17	75	0.00005
Bermanella sp.	2024825	S	247	122	369	0.00023
Oleibacter marinus	484498	S	53	165	218	0.00014
Oleibacter sp.	2024845	S	23	10	33	0.00002
Neptuniibacter sp. UBA6509	1946976	S	66	11	77	0.00005
Oceanobacter sp.	2030817	S	24	6	30	0.00002
Alcanivorax borkumensis	59754	S	355	121	476	0.00030
Alcanivorax sp.	1872427	S	62	66	128	0.00008
Alcanivorax sp. UBA4485	1945988	S	31	48	79	0.00005
Alcanivorax jadensis	64988	S	26	20	46	0.00003
Alloalcanivorax venustensis	172371	S	467	1847	2314	0.00145
Alcanivoracaceae bacterium	2024895	S	27	41	68	0.00004
Marinobacter vinifirmus	355591	S	685	995	1680	0.00105
Marinobacter salarius	1420917	S	284	565	849	0.00053
Marinobacter sp. B9-2	2137198	S	23	87	110	0.00007
Marinobacter sp.	50741	S	18	15	33	0.00002
Marinobacter fuscus	2109942	S	21	26	47	0.00003
Marinobacter manganoxydans	1150997	S	17	296	313	0.00020
Marinobacter algicola	236100	S	14	17	31	0.00002
Marinobacter nauticus	2743	S	13	8	21	0.00001
Halopseudomonas aestusnigri	857252	S	382	414	796	0.00050
Halopseudomonas pachastrellae	254161	S	108	198	306	0.00019
Halopseudomonas gallaeciensis	857227	S	24	27	51	0.00003
Pseudomonas putida	303	S	109	498	607	0.00038
Stutzerimonas stutzeri	316	S	66	198	264	0.00017
