sample	contig	reads
ERR599021	NODE_4_length_52489_cov_0.142546	7449
ERR599021	NODE_52_length_22264_cov_0.136070	2935
ERR599021	NODE_54_length_22201_cov_0.152656	3176
ERR599021	NODE_156_length_15308_cov_0.198895	3161
ERR599021	NODE_231_length_13214_cov_0.134274	1112
ERR599021	NODE_310_length_11836_cov_0.100281	1146
ERR599021	NODE_708_length_8561_cov_0.138265	1169
ERR599021	NODE_1037_length_7322_cov_0.095390	700
ERR599021	NODE_1447_length_6382_cov_0.171415	798
ERR599021	NODE_1881_length_5699_cov_0.083929	423
ERR599021	NODE_2222_length_5248_cov_0.123519	602
ERR599021	NODE_2861_length_4603_cov_0.111234	432
ERR599021	NODE_3105_length_4423_cov_0.109852	425
ERR599021	NODE_3382_length_4241_cov_0.097537	250
ERR599021	NODE_7559_length_2798_cov_0.107447	277
ERR599021	NODE_7717_length_2765_cov_0.240435	584
ERR599021	NODE_8363_length_2656_cov_0.075088	190
ERR599021	NODE_8619_length_2614_cov_0.092247	180
ERR599021	NODE_9345_length_2510_cov_0.066363	151
ERR599021	NODE_9709_length_2461_cov_0.124894	191
ERR599021	NODE_10400_length_2376_cov_0.066755	144
ERR599021	NODE_10805_length_2329_cov_0.084753	152
ERR599021	NODE_10911_length_2318_cov_0.060838	121
ERR599021	NODE_10916_length_2317_cov_0.128043	187
ERR599021	NODE_11099_length_2296_cov_0.055530	113
ERR599021	NODE_11335_length_2270_cov_0.096269	135
ERR599021	NODE_11487_length_2254_cov_0.080278	122
ERR599021	NODE_11893_length_2211_cov_0.130208	163
ERR599021	NODE_12226_length_2180_cov_0.074964	122
ERR599021	NODE_14186_length_2013_cov_0.068966	119
ERR599021	NODE_14416_length_1996_cov_0.052715	65
ERR599021	NODE_18709_length_1738_cov_0.222087	273
ERR599021	NODE_20352_length_1666_cov_0.059349	58
ERR599021	NODE_20374_length_1665_cov_0.075990	89
ERR599021	NODE_22103_length_1592_cov_0.073677	75
ERR599021	NODE_22748_length_1569_cov_0.055102	73
ERR599021	NODE_22992_length_1560_cov_0.058864	84
ERR599021	NODE_23043_length_1558_cov_0.090473	96
ERR599021	NODE_23642_length_1536_cov_0.062630	80
ERR599021	NODE_24109_length_1521_cov_0.066104	79
ERR599021	NODE_25620_length_1475_cov_0.077762	78
ERR599021	NODE_25867_length_1467_cov_0.095029	130
ERR599021	NODE_26652_length_1446_cov_0.072754	75
ERR599021	NODE_27122_length_1433_cov_0.057721	63
ERR599021	NODE_30101_length_1357_cov_0.061208	63
ERR599021	NODE_31632_length_1323_cov_0.070261	76
ERR599021	NODE_31677_length_1322_cov_0.069501	66
ERR599021	NODE_31779_length_1320_cov_0.056511	64
ERR599021	NODE_34453_length_1266_cov_0.083976	77
ERR599021	NODE_35168_length_1252_cov_0.146574	137
ERR599021	NODE_38257_length_1199_cov_0.054545	56
ERR599021	NODE_38296_length_1198_cov_0.076433	55
ERR599021	NODE_39155_length_1184_cov_0.077419	75
ERR599021	NODE_41784_length_1144_cov_0.093780	62
ERR599021	NODE_46625_length_1080_cov_0.055046	58
ERR599021	NODE_47022_length_1075_cov_0.069672	76
ERR599021	NODE_47072_length_1075_cov_0.031762	26
ERR599021	NODE_47811_length_1065_cov_0.070393	46
ERR599021	NODE_48746_length_1054_cov_0.070157	56
ERR599021	NODE_49125_length_1050_cov_0.052576	43
ERR599021	NODE_50390_length_1036_cov_0.073639	53
ERR599021	NODE_50902_length_1031_cov_0.065451	49
ERR599021	NODE_51940_length_1021_cov_0.069414	46
ERR599021	NODE_52054_length_1020_cov_0.057546	44
SRR3962680	NODE_1_length_50995_cov_3.935889	4301
SRR3962680	NODE_1019_length_2905_cov_1.035994	64
SRR3962680	NODE_1981_length_2283_cov_0.981227	52
SRR3962680	NODE_2352_length_2134_cov_1.061425	46
SRR3962680	NODE_2457_length_2100_cov_1.011994	47
SRR3962680	NODE_2807_length_1989_cov_1.120106	45
SRR3962680	NODE_2818_length_1986_cov_1.616852	67
SRR3962680	NODE_2910_length_1963_cov_1.013412	41
SRR3962680	NODE_2917_length_1961_cov_1.778195	76
SRR3962680	NODE_3632_length_1807_cov_1.042155	37
SRR3962680	NODE_3637_length_1807_cov_0.843091	30
SRR3962680	NODE_3993_length_1744_cov_1.178116	42
SRR3962680	NODE_4077_length_1729_cov_1.239877	38
SRR3962680	NODE_4257_length_1696_cov_1.299311	47
SRR3962680	NODE_4370_length_1679_cov_1.202532	41
SRR3962680	NODE_4382_length_1678_cov_1.369854	48
SRR3962680	NODE_4444_length_1668_cov_0.887189	31
SRR3962680	NODE_5084_length_1582_cov_0.902900	29
SRR3962680	NODE_5311_length_1556_cov_1.445436	46
SRR3962680	NODE_5754_length_1508_cov_1.289567	38
SRR3962680	NODE_6542_length_1435_cov_1.042665	33
SRR3962680	NODE_6913_length_1404_cov_1.224521	37
SRR3962680	NODE_6959_length_1400_cov_1.238278	35
SRR3962680	NODE_7289_length_1374_cov_1.163137	31
SRR3962680	NODE_7293_length_1374_cov_1.021176	28
SRR3962680	NODE_7551_length_1356_cov_1.263325	32
SRR3962680	NODE_7670_length_1348_cov_1.403523	36
SRR3962680	NODE_7980_length_1329_cov_0.988618	28
SRR3962680	NODE_8185_length_1314_cov_1.146502	30
SRR3962680	NODE_8919_length_1271_cov_1.495734	36
SRR3962680	NODE_9030_length_1265_cov_0.804460	20
SRR3962680	NODE_9716_length_1230_cov_1.438550	33
SRR3962680	NODE_10409_length_1197_cov_1.131148	27
SRR3962680	NODE_10543_length_1190_cov_1.203483	29
SRR3962680	NODE_10576_length_1189_cov_0.918349	24
SRR3962680	NODE_11099_length_1167_cov_1.122659	26
SRR3962680	NODE_12492_length_1115_cov_0.809055	16
SRR3962680	NODE_12985_length_1098_cov_1.016016	21
SRR3962680	NODE_13789_length_1072_cov_0.893114	18
SRR3962680	NODE_13922_length_1068_cov_1.013416	21
SRR3962680	NODE_14415_length_1053_cov_0.752621	14
SRR3962680	NODE_14648_length_1046_cov_1.088701	22
SRR3962680	NODE_14906_length_1039_cov_0.956383	20
SRR3962680	NODE_15871_length_1014_cov_1.139891	21
SRR3968062	NODE_2_length_109457_cov_21.320864	49073
SRR3968062	NODE_9_length_58353_cov_7.694150	9446
SRR3968062	NODE_48_length_19150_cov_6.739069	2730
SRR3968062	NODE_141_length_11916_cov_3.832106	972
SRR3968062	NODE_271_length_9275_cov_11.459350	2243
SRR3968062	NODE_335_length_8556_cov_14.070238	2516
SRR3968062	NODE_411_length_7752_cov_20.284072	3273
SRR3968062	NODE_431_length_7585_cov_2.256612	357
SRR3968062	NODE_469_length_7367_cov_11.692350	1798
SRR3968062	NODE_497_length_7177_cov_4.053829	613
SRR3968062	NODE_807_length_5964_cov_4.952771	610
SRR3968062	NODE_819_length_5926_cov_2.666724	327
SRR3968062	NODE_1965_length_4148_cov_3.592492	300
SRR3968062	NODE_2923_length_3480_cov_5.349009	348
SRR3968062	NODE_3523_length_3194_cov_2.355089	151
SRR3968062	NODE_3659_length_3128_cov_2.853747	189
SRR3968062	NODE_5004_length_2716_cov_8.922048	466
SRR3968062	NODE_5584_length_2574_cov_3.273535	172
SRR3968062	NODE_5728_length_2544_cov_2.702658	141
SRR3968062	NODE_5738_length_2541_cov_1.628174	85
SRR3968062	NODE_7461_length_2256_cov_2.865090	132
SRR3968062	NODE_8528_length_2114_cov_2.615385	111
SRR3968062	NODE_9702_length_1983_cov_11.371550	398
SRR3968062	NODE_11443_length_1832_cov_1.979804	70
SRR3968062	NODE_11468_length_1830_cov_9.114385	199
SRR3968062	NODE_11540_length_1824_cov_2.139710	76
SRR3968062	NODE_13664_length_1677_cov_1.513942	48
SRR3968062	NODE_14231_length_1645_cov_2.039457	66
SRR3968062	NODE_14653_length_1622_cov_2.787262	92
SRR3968062	NODE_15158_length_1595_cov_4.384358	129
SRR3968062	NODE_16882_length_1514_cov_1.889753	55
SRR3968062	NODE_17768_length_1478_cov_2.617839	75
SRR3968062	NODE_17793_length_1477_cov_12.533382	342
SRR3968062	NODE_18498_length_1449_cov_1.222963	37
SRR3968062	NODE_18561_length_1446_cov_8.100223	217
SRR3968062	NODE_20501_length_1377_cov_1.590767	41
SRR3968062	NODE_21249_length_1352_cov_1.334397	38
SRR3968062	NODE_22938_length_1301_cov_1.093178	28
SRR3968062	NODE_23117_length_1296_cov_1.384294	33
SRR3968062	NODE_24053_length_1270_cov_2.174210	53
SRR3968062	NODE_27106_length_1197_cov_1.279599	29
SRR3968062	NODE_29506_length_1147_cov_0.798664	17
SRR3968062	NODE_32676_length_1088_cov_1.265925	30
SRR3968062	NODE_32961_length_1083_cov_1.155488	28
SRR3968062	NODE_36262_length_1030_cov_1.058002	20
SRR3968062	NODE_36453_length_1027_cov_1.058190	20
SRR3968062	NODE_37966_length_1006_cov_1.090408	20
ERR599072	NODE_5_length_274575_cov_0.421050	68383
ERR599072	NODE_10_length_204281_cov_0.213026	25615
ERR599072	NODE_13_length_191048_cov_1.253010	143075
ERR599072	NODE_32_length_124809_cov_0.223911	16559
ERR599072	NODE_45_length_104361_cov_0.582983	36701
ERR599072	NODE_46_length_103755_cov_1.042458	63432
ERR599072	NODE_47_length_102439_cov_0.316689	19279
ERR599072	NODE_56_length_92816_cov_1.470518	81689
ERR599072	NODE_68_length_86706_cov_1.566167	78559
ERR599072	NODE_87_length_77245_cov_0.250395	15526
ERR599072	NODE_97_length_74052_cov_0.402350	17642
ERR599072	NODE_110_length_69315_cov_0.548313	21863
ERR599072	NODE_123_length_65588_cov_0.205531	8196
ERR599072	NODE_137_length_62261_cov_1.666404	59340
ERR599072	NODE_141_length_61691_cov_0.210774	7788
ERR599072	NODE_150_length_57719_cov_0.218986	7594
ERR599072	NODE_157_length_56116_cov_1.869254	60746
ERR599072	NODE_176_length_50804_cov_0.274647	8099
ERR599072	NODE_182_length_49899_cov_1.537811	43993
ERR599072	NODE_187_length_49462_cov_0.317201	9475
ERR599072	NODE_189_length_49182_cov_0.234154	6907
ERR599072	NODE_200_length_46231_cov_1.643718	43484
ERR599072	NODE_238_length_41530_cov_0.212160	5199
ERR599072	NODE_247_length_40667_cov_0.200207	6071
ERR599072	NODE_258_length_39691_cov_0.434027	11092
ERR599072	NODE_282_length_38180_cov_0.188283	6930
ERR599072	NODE_292_length_37800_cov_0.441474	16118
ERR599072	NODE_329_length_35300_cov_1.487742	30799
ERR599072	NODE_346_length_34292_cov_0.223321	4441
ERR599072	NODE_347_length_34207_cov_0.240471	4963
ERR599072	NODE_397_length_31670_cov_0.384023	10179
ERR599072	NODE_419_length_30684_cov_2.147425	38569
ERR599072	NODE_428_length_30378_cov_0.557317	9699
ERR599072	NODE_436_length_29975_cov_0.154137	3759
ERR599072	NODE_468_length_28784_cov_1.492627	23834
ERR599072	NODE_539_length_26299_cov_0.430954	6565
ERR599072	NODE_567_length_25608_cov_0.161355	4175
ERR599072	NODE_604_length_24678_cov_0.470320	10966
ERR599072	NODE_606_length_24629_cov_0.620302	8829
ERR599072	NODE_618_length_24285_cov_0.199744	3629
ERR599072	NODE_622_length_24201_cov_0.303917	6401
ERR599072	NODE_649_length_23573_cov_1.955270	27464
ERR599072	NODE_659_length_23419_cov_0.502401	7288
ERR599072	NODE_688_length_22645_cov_1.492105	19682
ERR599072	NODE_707_length_22124_cov_1.699069	21717
ERR599072	NODE_722_length_21905_cov_0.230808	4265
ERR599072	NODE_775_length_21150_cov_0.177379	2819
ERR599072	NODE_806_length_20575_cov_0.173960	2658
ERR599072	NODE_828_length_20265_cov_0.362343	6148
ERR599072	NODE_849_length_19900_cov_0.322155	4651
ERR599072	NODE_936_length_18868_cov_0.091268	1544
ERR599072	NODE_980_length_18415_cov_0.236733	2461
ERR599072	NODE_993_length_18248_cov_0.294617	5466
ERR599072	NODE_1047_length_17725_cov_1.446953	15550
ERR599072	NODE_1211_length_16240_cov_0.726535	9820
ERR599072	NODE_1248_length_15977_cov_0.175211	1663
ERR599072	NODE_1259_length_15925_cov_0.174144	2272
ERR599072	NODE_1269_length_15871_cov_0.167385	1546
ERR599072	NODE_1342_length_15397_cov_0.143091	1824
ERR599072	NODE_1371_length_15215_cov_0.172334	2029
ERR599072	NODE_1433_length_14887_cov_0.192386	1680
ERR599072	NODE_1452_length_14782_cov_0.144180	1619
ERR599072	NODE_1525_length_14392_cov_0.359127	4338
ERR599072	NODE_1703_length_13541_cov_1.796236	14408
ERR599072	NODE_1709_length_13515_cov_0.359720	3932
ERR599072	NODE_1815_length_13043_cov_0.294808	2351
ERR599072	NODE_1819_length_13022_cov_0.167453	1257
ERR599072	NODE_1948_length_12581_cov_0.536613	3844
ERR599072	NODE_1970_length_12524_cov_0.323541	3896
ERR599072	NODE_2090_length_12178_cov_0.106797	1191
ERR599072	NODE_2116_length_12113_cov_0.131097	1300
ERR599072	NODE_2198_length_11840_cov_0.184822	1698
ERR599072	NODE_2504_length_11021_cov_0.166636	1250
ERR599072	NODE_2522_length_10974_cov_0.203034	1862
ERR599072	NODE_2543_length_10935_cov_0.222961	1899
ERR599072	NODE_2873_length_10285_cov_0.183487	1450
ERR599072	NODE_3105_length_9915_cov_0.114405	1158
ERR599072	NODE_3199_length_9763_cov_1.548945	9099
ERR599072	NODE_3567_length_9281_cov_0.212481	1417
ERR599072	NODE_3757_length_9041_cov_0.145270	988
ERR599072	NODE_3858_length_8928_cov_0.326651	2383
ERR599072	NODE_4029_length_8722_cov_0.472921	3256
ERR599072	NODE_4184_length_8540_cov_0.193579	1184
ERR599072	NODE_4274_length_8442_cov_0.513724	2526
ERR599072	NODE_4338_length_8372_cov_0.171884	853
ERR599072	NODE_4453_length_8273_cov_0.154270	761
ERR599072	NODE_4454_length_8269_cov_0.107466	720
ERR599072	NODE_4574_length_8160_cov_0.432949	3466
ERR599072	NODE_4731_length_8015_cov_0.157529	896
