sample	ali	prev	target	contig	reads
ERR599096	bowtie2	spades	spades	NODE_14_length_79642_cov_0.269540	15727
ERR599096	bowtie2	spades	spades	NODE_19_length_71623_cov_0.236802	12130
ERR599096	bowtie2	spades	spades	NODE_27_length_49226_cov_0.269974	10537
ERR599096	bowtie2	spades	spades	NODE_28_length_46274_cov_0.503108	17946
ERR599096	bowtie2	spades	spades	NODE_29_length_45421_cov_0.229248	7664
ERR599096	bowtie2	spades	spades	NODE_31_length_44428_cov_0.193417	7652
ERR599096	bowtie2	spades	spades	NODE_37_length_37720_cov_0.151298	4270
ERR599096	bowtie2	spades	spades	NODE_66_length_24293_cov_0.240018	4563
ERR599096	bowtie2	spades	spades	NODE_90_length_20620_cov_0.306418	3639
ERR599096	bowtie2	spades	spades	NODE_96_length_20300_cov_0.162962	2507
ERR599096	bowtie2	spades	spades	NODE_105_length_19584_cov_0.366076	5808
ERR599096	bowtie2	spades	spades	NODE_111_length_19288_cov_0.188806	2792
ERR599096	bowtie2	spades	spades	NODE_217_length_15529_cov_0.179067	2389
ERR599096	bowtie2	spades	spades	NODE_262_length_14535_cov_0.155375	1297
ERR599096	bowtie2	spades	spades	NODE_340_length_13359_cov_0.148039	1654
ERR599096	bowtie2	spades	spades	NODE_428_length_12372_cov_0.111464	1403
ERR599096	bowtie2	spades	spades	NODE_513_length_11428_cov_0.120840	1332
ERR599096	bowtie2	spades	spades	NODE_770_length_9890_cov_0.229190	1532
ERR599096	bowtie2	spades	spades	NODE_815_length_9645_cov_0.357951	2651
ERR599096	bowtie2	spades	spades	NODE_874_length_9344_cov_0.225635	1473
ERR599096	bowtie2	spades	spades	NODE_1460_length_7543_cov_0.139710	803
ERR599096	bowtie2	spades	spades	NODE_1612_length_7213_cov_0.077312	450
ERR599096	bowtie2	spades	spades	NODE_1897_length_6702_cov_0.135847	562
ERR599096	bowtie2	spades	spades	NODE_2512_length_5881_cov_0.160325	532
ERR599096	bowtie2	spades	spades	NODE_3198_length_5249_cov_0.210291	630
ERR599096	bowtie2	spades	spades	NODE_3319_length_5158_cov_0.116229	543
ERR599096	bowtie2	spades	spades	NODE_3495_length_5035_cov_0.139992	396
ERR599096	bowtie2	spades	spades	NODE_4250_length_4558_cov_0.360170	1224
ERR599096	bowtie2	spades	spades	NODE_4742_length_4317_cov_0.144144	358
ERR599096	bowtie2	spades	spades	NODE_4992_length_4209_cov_0.318978	1000
ERR599096	bowtie2	spades	spades	NODE_5199_length_4125_cov_0.239692	753
ERR599096	bowtie2	spades	spades	NODE_5545_length_3993_cov_0.089625	288
ERR599096	bowtie2	spades	spades	NODE_6396_length_3718_cov_0.155015	320
ERR599096	bowtie2	spades	spades	NODE_7682_length_3397_cov_0.098241	260
ERR599096	bowtie2	spades	spades	NODE_8062_length_3320_cov_0.401118	962
ERR599096	bowtie2	spades	spades	NODE_8191_length_3295_cov_0.091051	222
ERR599096	bowtie2	spades	spades	NODE_8558_length_3221_cov_0.162716	289
ERR599096	bowtie2	spades	spades	NODE_8589_length_3213_cov_0.312139	762
ERR599096	bowtie2	spades	spades	NODE_10428_length_2890_cov_0.097098	240
ERR599096	bowtie2	spades	spades	NODE_12791_length_2598_cov_0.326130	656
ERR599096	bowtie2	spades	spades	NODE_14567_length_2423_cov_0.077453	134
ERR599096	bowtie2	spades	spades	NODE_15873_length_2314_cov_0.113318	177
ERR599096	bowtie2	spades	spades	NODE_18093_length_2156_cov_0.117161	176
ERR599096	bowtie2	spades	spades	NODE_22412_length_1912_cov_0.143960	143
ERR599096	bowtie2	spades	spades	NODE_23675_length_1855_cov_0.306378	418
ERR599096	bowtie2	spades	spades	NODE_24128_length_1836_cov_0.081174	110
ERR599096	bowtie2	spades	spades	NODE_25800_length_1768_cov_0.152786	144
ERR599096	bowtie2	spades	spades	NODE_26283_length_1750_cov_0.139915	143
ERR599096	bowtie2	spades	spades	NODE_27880_length_1696_cov_0.098309	101
ERR599096	bowtie2	spades	spades	NODE_30564_length_1613_cov_0.123514	153
ERR599096	bowtie2	spades	spades	NODE_31097_length_1597_cov_0.066088	108
ERR599096	bowtie2	spades	spades	NODE_31119_length_1596_cov_0.092852	102
ERR599096	bowtie2	spades	spades	NODE_33285_length_1539_cov_0.196528	193
ERR599096	bowtie2	spades	spades	NODE_33443_length_1535_cov_0.146240	121
ERR599096	bowtie2	spades	spades	NODE_35564_length_1483_cov_0.072254	70
ERR599096	bowtie2	spades	spades	NODE_36456_length_1463_cov_0.158358	174
ERR599096	bowtie2	spades	spades	NODE_36700_length_1457_cov_0.365243	349
ERR599096	bowtie2	spades	spades	NODE_37415_length_1442_cov_0.055845	69
ERR599096	bowtie2	spades	spades	NODE_37506_length_1440_cov_0.077554	72
ERR599096	bowtie2	spades	spades	NODE_38371_length_1422_cov_0.100529	101
ERR599096	bowtie2	spades	spades	NODE_41929_length_1355_cov_0.044586	43
ERR599096	bowtie2	spades	spades	NODE_42594_length_1342_cov_0.079646	81
ERR599096	bowtie2	spades	spades	NODE_46712_length_1275_cov_0.092687	80
ERR599096	bowtie2	spades	spades	NODE_53717_length_1179_cov_0.069444	54
ERR599096	bowtie2	spades	spades	NODE_56215_length_1150_cov_0.052331	50
ERR599096	bowtie2	spades	spades	NODE_57534_length_1135_cov_0.038610	39
ERR599096	bowtie2	spades	spades	NODE_59834_length_1110_cov_0.100890	53
ERR599096	bowtie2	spades	spades	NODE_62430_length_1084_cov_0.035533	30
ERR599096	bowtie2	spades	spades	NODE_63269_length_1075_cov_0.203893	133
ERR599096	bowtie2	spades	spades	NODE_66305_length_1048_cov_0.021075	17
ERR599096	bowtie2	spades	spades	NODE_69827_length_1018_cov_0.898803	901
ERR599096	bowtie2	spades	spades	NODE_70995_length_1009_cov_0.080220	55
