sample	ali	prev	target	contig	reads
SRR3966130	bowtie2	spades	spades	NODE_84_length_17462_cov_3.606808	1366
SRR3966130	bowtie2	spades	spades	NODE_138_length_14565_cov_2.434398	771
SRR3966130	bowtie2	spades	spades	NODE_243_length_11467_cov_2.277270	563
SRR3966130	bowtie2	spades	spades	NODE_269_length_10889_cov_3.864690	863
SRR3966130	bowtie2	spades	spades	NODE_362_length_9502_cov_2.159630	450
SRR3966130	bowtie2	spades	spades	NODE_431_length_8491_cov_3.639299	658
SRR3966130	bowtie2	spades	spades	NODE_468_length_8193_cov_2.427230	438
SRR3966130	bowtie2	spades	spades	NODE_489_length_7907_cov_5.076332	842
SRR3966130	bowtie2	spades	spades	NODE_508_length_7741_cov_2.232138	381
SRR3966130	bowtie2	spades	spades	NODE_511_length_7710_cov_1.745237	299
SRR3966130	bowtie2	spades	spades	NODE_527_length_7602_cov_2.712648	439
SRR3966130	bowtie2	spades	spades	NODE_613_length_6982_cov_2.786285	426
SRR3966130	bowtie2	spades	spades	NODE_629_length_6902_cov_2.387623	358
SRR3966130	bowtie2	spades	spades	NODE_644_length_6832_cov_2.630031	396
SRR3966130	bowtie2	spades	spades	NODE_678_length_6653_cov_2.981080	433
SRR3966130	bowtie2	spades	spades	NODE_704_length_6515_cov_2.522600	359
SRR3966130	bowtie2	spades	spades	NODE_729_length_6423_cov_2.169987	304
SRR3966130	bowtie2	spades	spades	NODE_753_length_6317_cov_2.471373	347
SRR3966130	bowtie2	spades	spades	NODE_828_length_6069_cov_2.119765	280
SRR3966130	bowtie2	spades	spades	NODE_831_length_6064_cov_2.767645	363
SRR3966130	bowtie2	spades	spades	NODE_835_length_6054_cov_2.321411	318
SRR3966130	bowtie2	spades	spades	NODE_943_length_5650_cov_3.172582	394
SRR3966130	bowtie2	spades	spades	NODE_960_length_5591_cov_2.069920	249
SRR3966130	bowtie2	spades	spades	NODE_977_length_5542_cov_2.917325	360
SRR3966130	bowtie2	spades	spades	NODE_991_length_5496_cov_2.396702	294
SRR3966130	bowtie2	spades	spades	NODE_1072_length_5291_cov_2.273305	255
SRR3966130	bowtie2	spades	spades	NODE_1081_length_5278_cov_2.150994	246
SRR3966130	bowtie2	spades	spades	NODE_1134_length_5158_cov_3.395928	375
SRR3966130	bowtie2	spades	spades	NODE_1136_length_5157_cov_2.110716	234
SRR3966130	bowtie2	spades	spades	NODE_1304_length_4794_cov_2.226198	242
SRR3966130	bowtie2	spades	spades	NODE_1346_length_4718_cov_2.060836	210
SRR3966130	bowtie2	spades	spades	NODE_1375_length_4669_cov_2.484026	241
SRR3966130	bowtie2	spades	spades	NODE_1391_length_4643_cov_2.295995	226
SRR3966130	bowtie2	spades	spades	NODE_1432_length_4575_cov_2.988382	288
SRR3966130	bowtie2	spades	spades	NODE_1444_length_4560_cov_2.241650	237
SRR3966130	bowtie2	spades	spades	NODE_1468_length_4515_cov_2.449275	232
SRR3966130	bowtie2	spades	spades	NODE_1577_length_4360_cov_2.177893	214
SRR3966130	bowtie2	spades	spades	NODE_1592_length_4340_cov_3.761141	352
SRR3966130	bowtie2	spades	spades	NODE_1772_length_4121_cov_2.512680	230
SRR3966130	bowtie2	spades	spades	NODE_1866_length_4012_cov_1.673907	146
SRR3966130	bowtie2	spades	spades	NODE_1902_length_3972_cov_2.145107	179
SRR3966130	bowtie2	spades	spades	NODE_2046_length_3832_cov_2.387892	202
SRR3966130	bowtie2	spades	spades	NODE_2122_length_3750_cov_1.938647	155
SRR3966130	bowtie2	spades	spades	NODE_2127_length_3742_cov_2.585232	212
SRR3966130	bowtie2	spades	spades	NODE_2131_length_3738_cov_1.730146	137
SRR3966130	bowtie2	spades	spades	NODE_2135_length_3735_cov_2.548955	203
SRR3966130	bowtie2	spades	spades	NODE_2176_length_3703_cov_2.073252	165
SRR3966130	bowtie2	spades	spades	NODE_2276_length_3632_cov_2.437305	177
SRR3966130	bowtie2	spades	spades	NODE_2309_length_3610_cov_2.549131	196
SRR3966130	bowtie2	spades	spades	NODE_2452_length_3505_cov_2.308867	173
SRR3966130	bowtie2	spades	spades	NODE_2539_length_3453_cov_2.872987	217
SRR3966130	bowtie2	spades	spades	NODE_2760_length_3308_cov_2.149579	158
SRR3966130	bowtie2	spades	spades	NODE_2836_length_3263_cov_1.617573	111
SRR3966130	bowtie2	spades	spades	NODE_2888_length_3241_cov_2.164863	156
SRR3966130	bowtie2	spades	spades	NODE_2920_length_3224_cov_2.173120	144
SRR3966130	bowtie2	spades	spades	NODE_3054_length_3147_cov_2.165026	152
SRR3966130	bowtie2	spades	spades	NODE_3212_length_3069_cov_2.053199	136
SRR3966130	bowtie2	spades	spades	NODE_3295_length_3027_cov_1.379781	96
SRR3966130	bowtie2	spades	spades	NODE_3311_length_3020_cov_2.381034	151
SRR3966130	bowtie2	spades	spades	NODE_3498_length_2945_cov_2.122980	131
SRR3966130	bowtie2	spades	spades	NODE_3549_length_2925_cov_2.711607	162
SRR3966130	bowtie2	spades	spades	NODE_3578_length_2914_cov_1.803197	107
SRR3966130	bowtie2	spades	spades	NODE_3790_length_2838_cov_2.461847	151
SRR3966130	bowtie2	spades	spades	NODE_3846_length_2819_cov_2.170588	139
SRR3966130	bowtie2	spades	spades	NODE_3898_length_2803_cov_1.754068	111
SRR3966130	bowtie2	spades	spades	NODE_3918_length_2796_cov_1.536151	84
SRR3966130	bowtie2	spades	spades	NODE_3933_length_2793_cov_1.757610	106
SRR3966130	bowtie2	spades	spades	NODE_3962_length_2786_cov_2.294380	142
SRR3966130	bowtie2	spades	spades	NODE_3967_length_2785_cov_2.459419	145
SRR3966130	bowtie2	spades	spades	NODE_4042_length_2762_cov_2.209163	125
SRR3966130	bowtie2	spades	spades	NODE_4090_length_2747_cov_1.782855	97
SRR3966130	bowtie2	spades	spades	NODE_4267_length_2696_cov_1.331921	80
SRR3966130	bowtie2	spades	spades	NODE_4283_length_2690_cov_1.957931	119
SRR3966130	bowtie2	spades	spades	NODE_4373_length_2664_cov_2.455361	139
SRR3966130	bowtie2	spades	spades	NODE_4615_length_2599_cov_2.396000	136
SRR3966130	bowtie2	spades	spades	NODE_4703_length_2579_cov_1.583871	82
SRR3966130	bowtie2	spades	spades	NODE_4737_length_2567_cov_2.122366	117
SRR3966130	bowtie2	spades	spades	NODE_4820_length_2546_cov_2.834491	150
SRR3966130	bowtie2	spades	spades	NODE_4876_length_2530_cov_1.429453	79
SRR3966130	bowtie2	spades	spades	NODE_4934_length_2516_cov_1.971452	102
SRR3966130	bowtie2	spades	spades	NODE_4990_length_2504_cov_2.064033	112
SRR3966130	bowtie2	spades	spades	NODE_5197_length_2455_cov_1.414261	59
