featureid	ERR599164	SRR3963458	SRR3963457	ERR598999	SRR3965758	ERR599124	ERR599004	SRR3968062	ERR599034	ERR599127	ERR599067	ERR599083	SRR3963982	ERR599055	SRR3968061	SRR3962773	ERR599072	SRR3963622	ERR599152	ERR599167	ERR599159	ERR599015	ERR599175	ERR599051	ERR598980	ERR599076	SRR3966130	SRR3960579	ERR599128	ERR598964	ERR599085	ERR599062	SRR3960577	ERR599109	SRR3965873	SRR3963449	SRR3967690	ERR599112	ERR598944	ERR599131	ERR599166	SRR3965874	SRR3968777	ERR599096	ERR598958	SRR3961935	SRR3961906	SRR3963804	SRR3961047	SRR3960575	SRR3965586	ERR599031	ERR599033	ERR599000	ERR599048	ERR598947	SRR3967700	ERR599008	ERR599172	ERR599021	ERR598960	ERR599047	ERR599005	ERR599154	SRR3962680	ERR598971	SRR3967319	ERR599086	ERR599071	ERR598985	SRR3960578	ERR599044	ERR599149	ERR599125	ERR599060	ERR599037	SRR3962293	SRR3965592	ERR599115	ERR599132	ERR599020
Alteromonas macleodii	558560.0	71437.0	45562.0	44027.0	14313.0	56197.0	417407.0	618263.0	114368.0	149514.0	1001568.0	45028.0	441221.0	447272.0	207330.0	152255.0	1034189.0	62209.0	149176.0	444723.0	389355.0	149161.0	421188.0	422214.0	4490980.0	149392.0	175653.0	20957.0	921031.0	203102.0	59875.0	2430474.0	147586.0	184276.0	40199.0	10270.0	294526.0	46729.0	64572.0	129331.0	141081.0	21904.0	233133.0	43659.0	418190.0	14132.0	8756.0	8030.0	25327.0	209411.0	385722.0	418169.0	44062.0	877145.0	152442.0	739926.0	282471.0	2881.0	83734.0	325208.0	745643.0	43134.0	339383.0	131114.0	19388.0	5132984.0	243608.0	1023474.0	310236.0	1773424.0	266754.0	1114253.0	188612.0	663.0	421076.0	195282.0	63025.0	65477.0	637563.0	2507408.0	1031772.0
Alteromonas australica	86655.0	23176.0	25339.0	59675.0	4785.0	3779.0	17462.0	73131.0	305625.0	1078185.0	17733.0	61614.0	67015.0	38791.0	4109.0	28440.0	211340.0	4458.0	1078429.0	13757.0	25354.0	1076202.0	17634.0	17384.0	30877.0	1077736.0	71510.0	2574.0	77502.0	299768.0	48204.0	18830.0	63931.0	5746.0	3569.0	6014.0	19207.0	128835.0	93858.0	564054.0	138904.0	9332.0	9052.0	59350.0	78332.0	922.0	773.0	1650.0	820.0	21183.0	12684.0	3211.0	59857.0	777017.0	1550961.0	806011.0	18539.0	36609.0	18550.0	50591.0	1977649.0	98692.0	3385883.0	118829.0	5540.0	90194.0	46395.0	377531.0	248313.0	972767.0	258310.0	22096486.0	3764371.0	8426.0	17518.0	44097.0	11564.0	7940.0	141171.0	213090.0	145656.0
Alteromonas abrolhosensis	18322.0	1666.0	1304.0	1910.0	742.0	11762.0	12139.0	29357.0	14047.0	5695.0	127589.0	2033.0	13756.0	14753.0	6422.0	5272.0	42222.0	1859.0	5788.0	17100.0	80640.0	5502.0	12300.0	12076.0	165505.0	5732.0	7418.0	860.0	31085.0	8476.0	2366.0	93954.0	8258.0	7051.0	2650.0	574.0	12710.0	2620.0	8134.0	6279.0	6173.0	937.0	6588.0	1978.0	15458.0	490.0	294.0	258.0	915.0	11110.0	12433.0	15746.0	1978.0	215744.0	37551.0	30492.0	11821.0	167.0	4102.0	11059.0	90814.0	1616.0	83292.0	32643.0	694.0	646348.0	8853.0	45519.0	12288.0	171246.0	10630.0	81079.0	13892.0	43.0	12421.0	9819.0	2433.0	2577.0	32141.0	83756.0	44970.0
Alteromonas marina	15232.0	1792.0	1034.0	1445.0	602.0	1833.0	12171.0	19702.0	3754.0	5449.0	30799.0	1681.0	11609.0	13637.0	2808.0	5578.0	33863.0	1640.0	5296.0	15416.0	13668.0	5231.0	12226.0	12029.0	114541.0	5291.0	4724.0	871.0	27346.0	8390.0	2077.0	101178.0	5943.0	6321.0	2893.0	259.0	8335.0	1970.0	2483.0	3427.0	5614.0	630.0	2999.0	1461.0	18965.0	453.0	274.0	205.0	673.0	9497.0	10140.0	17572.0	1408.0	28377.0	6374.0	17692.0	7811.0	125.0	4356.0	9199.0	24792.0	1722.0	14318.0	4194.0	590.0	161094.0	5112.0	37263.0	10263.0	145256.0	7739.0	40159.0	6970.0	0.0	12516.0	10086.0	2266.0	2105.0	18952.0	74693.0	32436.0
Alteromonas mediterranea	10124.0	4448.0	7391.0	5764.0	22777.0	5802.0	7543.0	134881.0	3975.0	16351.0	121879.0	6076.0	78510.0	61671.0	12292.0	51646.0	105156.0	11627.0	15980.0	55869.0	39575.0	16197.0	7716.0	7693.0	185979.0	16012.0	75618.0	15879.0	122956.0	130051.0	37020.0	190940.0	109226.0	23520.0	24867.0	7263.0	46839.0	1173.0	51136.0	12869.0	42633.0	16843.0	42848.0	5702.0	12420.0	4594.0	9059.0	4892.0	6928.0	73724.0	118308.0	33307.0	5961.0	109538.0	59229.0	19682.0	38996.0	1920.0	13546.0	6161.0	26306.0	49448.0	130576.0	16957.0	4191.0	612810.0	91946.0	64453.0	190777.0	166673.0	203993.0	430352.0	72908.0	403.0	7826.0	31780.0	21819.0	12739.0	67875.0	335613.0	22107.0
Alteromonas sp. IB21	2713.0	751.0	534.0	733.0	290.0	348.0	8332.0	4932.0	1112.0	4231.0	12967.0	751.0	8382.0	8289.0	415.0	1275.0	22418.0	590.0	4194.0	3571.0	2806.0	4299.0	8232.0	8280.0	65101.0	4318.0	2226.0	886.0	17315.0	6183.0	3503.0	28773.0	3020.0	1429.0	567.0	161.0	2923.0	2913.0	1922.0	2005.0	4106.0	447.0	1258.0	732.0	9038.0	161.0	134.0	122.0	151.0	1893.0	4705.0	4738.0	788.0	12044.0	4830.0	3384.0	2356.0	786.0	1416.0	1509.0	7060.0	2043.0	11004.0	1844.0	174.0	67845.0	2142.0	20035.0	17770.0	23870.0	8141.0	74011.0	12627.0	196.0	7996.0	3174.0	682.0	621.0	10871.0	45808.0	13348.0
Alteromonas sp. RKMC-009	587.0	2208.0	5232.0	51.0	24.0	208.0	14895.0	712.0	185.0	4975.0	1081.0	36.0	802.0	408.0	48.0	1323.0	689.0	4042.0	4828.0	43964.0	1543.0	4826.0	15149.0	15247.0	41228.0	4802.0	153.0	588.0	748.0	1661.0	80.0	4942.0	381.0	18233.0	29.0	156.0	434.0	65.0	2422.0	268.0	2970.0	38.0	30.0	46.0	1056.0	156.0	239.0	524.0	358.0	290.0	711.0	864.0	44.0	978.0	380.0	1343.0	308.0	24.0	479.0	385.0	1400.0	550.0	834.0	127.0	129.0	5886.0	230.0	1507.0	412.0	77442.0	882.0	3478.0	606.0	0.0	15125.0	1128.0	351.0	110.0	18902.0	2159.0	1913.0
Alteromonas sp. KUL106	453.0	40.0	22.0	28.0	0.0	35.0	308.0	582.0	174.0	123.0	741.0	28.0	206.0	286.0	306.0	50.0	831.0	25.0	128.0	560.0	244.0	139.0	295.0	339.0	2804.0	133.0	170.0	0.0	594.0	226.0	25.0	1517.0	91.0	256.0	20.0	0.0	231.0	31.0	64.0	180.0	156.0	22.0	270.0	29.0	417.0	0.0	0.0	0.0	0.0	79.0	302.0	236.0	26.0	573.0	269.0	852.0	239.0	64.0	91.0	266.0	1202.0	63.0	619.0	78.0	0.0	3587.0	206.0	1000.0	190.0	2368.0	157.0	1313.0	214.0	0.0	303.0	227.0	28.0	60.0	556.0	1795.0	543.0
Alteromonas sp. V450	275.0	0.0	0.0	25.0	31.0	0.0	145.0	188.0	43.0	73.0	433.0	22.0	170.0	211.0	0.0	65.0	440.0	22.0	90.0	3315.0	142.0	79.0	159.0	140.0	2717.0	102.0	57.0	0.0	466.0	97.0	34.0	4866.0	79.0	1374.0	77.0	0.0	51.0	24.0	47.0	74.0	107.0	39.0	67.0	34.0	235.0	0.0	0.0	0.0	0.0	75.0	442.0	769.0	22.0	353.0	202.0	417.0	95.0	0.0	1223.0	107.0	281.0	20.0	453.0	47.0	0.0	2324.0	55.0	485.0	174.0	1128.0	125.0	753.0	133.0	0.0	125.0	2918.0	23.0	41.0	361.0	1297.0	556.0
Alteromonas sp. KC3	153.0	20.0	20.0	19.0	0.0	19.0	67.0	72.0	107.0	46.0	459.0	15.0	124.0	103.0	0.0	55.0	605.0	18.0	68.0	508.0	129.0	58.0	61.0	43.0	860.0	55.0	73.0	0.0	207.0	143.0	39.0	1548.0	44.0	247.0	0.0	0.0	65.0	53.0	56.0	76.0	111.0	0.0	29.0	16.0	265.0	0.0	0.0	0.0	0.0	67.0	98.0	264.0	20.0	214.0	219.0	255.0	89.0	22.0	44.0	77.0	748.0	38.0	585.0	29.0	0.0	2102.0	43.0	591.0	234.0	126029.0	85.0	1641.0	274.0	0.0	66.0	123.0	16.0	29.0	249.0	606.0	231.0
