featureid	ERR599164	SRR3963458	SRR3963457	ERR598999	SRR3965758	ERR599124	ERR599004	SRR3968062	ERR599034	ERR599127	ERR599067	ERR599083	SRR3963982	ERR599055	SRR3968061	SRR3962773	ERR599072	SRR3963622	ERR599152	ERR599167	ERR599159	ERR599015	ERR599175	ERR599051	ERR598980	ERR599076	SRR3966130	SRR3960579	ERR599128	ERR598964	ERR599085	ERR599062	SRR3960577	ERR599109	SRR3965873	SRR3963449	SRR3967690	ERR599112	ERR598944	ERR599131	ERR599166	SRR3965874	SRR3968777	ERR599096	ERR598958	SRR3961935	SRR3961906	SRR3963804	SRR3961047	SRR3960575	SRR3965586	ERR599031	ERR599033	ERR599000	ERR599048	ERR598947	SRR3967700	ERR599008	ERR599172	ERR599021	ERR598960	ERR599047	ERR599005	ERR599154	SRR3962680	ERR598971	SRR3967319	ERR599086	ERR599071	ERR598985	SRR3960578	ERR599044	ERR599149	ERR599125	ERR599060	ERR599037	SRR3962293	SRR3965592	ERR599115	ERR599132	ERR599020
Novosphingobium resinovorum	2257.0	71.0	37.0	421.0	650.0	181.0	193.0	58.0	794.0	565.0	85.0	444.0	135.0	27.0	51.0	45.0	968.0	126.0	568.0	0.0	1171.0	598.0	179.0	205.0	749.0	649.0	675.0	69.0	65.0	1790.0	20.0	110.0	35.0	0.0	751.0	83.0	257.0	43223.0	1044.0	38.0	1205.0	483.0	0.0	430.0	1276.0	52.0	46.0	0.0	182.0	165.0	127.0	0.0	471.0	4526.0	138.0	63.0	126.0	157.0	0.0	1369.0	4815.0	1090.0	276.0	717.0	95.0	358.0	116.0	303.0	99.0	3942.0	163.0	1083.0	168.0	37.0	155.0	24.0	42.0	355.0	2960.0	160.0	387.0
Novosphingobium sp. EMRT-2	1645.0	36.0	0.0	130.0	162.0	33.0	64.0	32.0	773.0	217.0	0.0	134.0	44.0	0.0	0.0	0.0	300.0	53.0	229.0	0.0	200.0	206.0	64.0	65.0	371.0	221.0	128.0	0.0	19.0	586.0	0.0	137.0	0.0	0.0	116.0	36.0	97.0	24135.0	306.0	0.0	409.0	86.0	0.0	137.0	451.0	0.0	0.0	0.0	83.0	67.0	32.0	0.0	136.0	1297.0	0.0	0.0	0.0	94.0	0.0	973.0	4228.0	383.0	63.0	184.0	0.0	69.0	80.0	150.0	24.0	1620.0	38.0	430.0	79.0	0.0	62.0	36.0	0.0	58.0	2638.0	44.0	115.0
Novosphingobium sp. P6W	19.0	0.0	0.0	0.0	21.0	0.0	0.0	19.0	0.0	15.0	0.0	19.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	26.0	0.0	29.0	221.0	20.0	0.0	14.0	20.0	0.0	21.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	70.0	0.0	0.0	0.0	16.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0
Novosphingobium pentaromativorans	376.0	32.0	15.0	173.0	63.0	41.0	27.0	22.0	158.0	141.0	21.0	193.0	33.0	0.0	61.0	0.0	191.0	44.0	124.0	173.0	326.0	133.0	31.0	37.0	248.0	118.0	93.0	0.0	0.0	437.0	0.0	115.0	0.0	83.0	57.0	26.0	47.0	10801.0	158.0	0.0	290.0	62.0	0.0	175.0	310.0	0.0	0.0	0.0	40.0	60.0	30.0	24.0	180.0	1203.0	0.0	0.0	0.0	322.0	0.0	214.0	736.0	211.0	41.0	196.0	37.0	54.0	43.0	62.0	18.0	657.0	0.0	403.0	77.0	72.0	21.0	16.0	0.0	51.0	1355.0	23.0	92.0
Novosphingobium decolorationis	707.0	0.0	0.0	204.0	372.0	0.0	0.0	0.0	170.0	258.0	0.0	201.0	0.0	0.0	0.0	0.0	256.0	0.0	219.0	0.0	240.0	212.0	0.0	0.0	119.0	176.0	339.0	0.0	0.0	449.0	0.0	0.0	0.0	0.0	404.0	0.0	113.0	5459.0	268.0	0.0	267.0	233.0	0.0	184.0	374.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	216.0	1360.0	0.0	0.0	0.0	0.0	0.0	458.0	1598.0	304.0	0.0	235.0	0.0	61.0	53.0	85.0	0.0	899.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	856.0	0.0	99.0
Sphingopyxis sp. 113P3	4068.0	0.0	0.0	554.0	32.0	19.0	28.0	0.0	3340.0	137.0	53.0	568.0	0.0	0.0	217.0	70.0	167.0	0.0	141.0	359.0	144.0	159.0	32.0	35.0	273.0	136.0	47.0	87.0	23.0	1537.0	0.0	2052.0	27.0	192.0	40.0	0.0	29.0	39150.0	815.0	46.0	527.0	35.0	0.0	577.0	842.0	0.0	187.0	0.0	130.0	194.0	0.0	403.0	568.0	564.0	34.0	140.0	0.0	581.0	97.0	2482.0	18088.0	389.0	93.0	95.0	0.0	242.0	24.0	188.0	24.0	1257.0	67.0	537.0	164.0	128.0	25.0	181.0	109.0	27.0	993.0	55.0	116.0
Sphingopyxis sp. FD7	248.0	0.0	0.0	178.0	90.0	23.0	0.0	21.0	84.0	149.0	0.0	162.0	26.0	0.0	0.0	27.0	82.0	0.0	132.0	60.0	83.0	125.0	28.0	21.0	99.0	171.0	85.0	0.0	0.0	214.0	0.0	65.0	0.0	27.0	70.0	0.0	81.0	3619.0	183.0	0.0	86.0	66.0	0.0	169.0	126.0	0.0	0.0	0.0	38.0	61.0	50.0	0.0	177.0	894.0	0.0	0.0	0.0	63.0	0.0	158.0	559.0	92.0	64.0	154.0	0.0	19.0	52.0	25.0	20.0	385.0	30.0	70.0	0.0	22.0	31.0	0.0	0.0	45.0	587.0	0.0	58.0
Sphingopyxis alaskensis	491.0	0.0	0.0	408.0	0.0	47.0	45.0	0.0	479.0	595.0	0.0	387.0	0.0	0.0	0.0	0.0	222.0	0.0	566.0	0.0	298.0	620.0	30.0	35.0	227.0	616.0	0.0	0.0	0.0	999.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	18364.0	901.0	0.0	819.0	0.0	0.0	414.0	768.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	428.0	638.0	80.0	0.0	0.0	124.0	0.0	264.0	2974.0	507.0	136.0	125.0	0.0	56.0	0.0	38.0	94.0	329.0	0.0	86.0	0.0	23.0	0.0	44.0	38.0	0.0	672.0	0.0	0.0
Sphingopyxis macrogoltabida	161.0	174.0	0.0	438.0	32.0	545.0	135.0	170.0	77.0	131.0	525.0	420.0	0.0	140.0	0.0	72.0	1053.0	0.0	123.0	100.0	3521.0	162.0	124.0	123.0	1228.0	166.0	0.0	88.0	255.0	897.0	116.0	99.0	55.0	57.0	0.0	124.0	0.0	1429.0	548.0	108.0	1152.0	0.0	0.0	469.0	465.0	95.0	0.0	0.0	35.0	152.0	0.0	0.0	419.0	3580.0	266.0	75.0	0.0	428.0	0.0	116.0	325.0	884.0	487.0	608.0	0.0	2611.0	44.0	450.0	485.0	1633.0	77.0	2363.0	572.0	101.0	85.0	61.0	159.0	0.0	2929.0	755.0	582.0
Sphingopyxis fribergensis	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	39.0	0.0	0.0	0.0	26.0	18.0	19.0	0.0	0.0	0.0	0.0	154.0	0.0	121.0	18.0	0.0	0.0	897.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	38.0	0.0	0.0	0.0	76.0	18.0	29.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	26.0	0.0	38.0	0.0	0.0	704.0	0.0	0.0
