featureid	ERR599164	SRR3963458	SRR3963457	ERR598999	SRR3965758	ERR599124	ERR599004	SRR3968062	ERR599034	ERR599127	ERR599067	ERR599083	SRR3963982	ERR599055	SRR3968061	SRR3962773	ERR599072	SRR3963622	ERR599152	ERR599167	ERR599159	ERR599015	ERR599175	ERR599051	ERR598980	ERR599076	SRR3966130	SRR3960579	ERR599128	ERR598964	ERR599085	ERR599062	SRR3960577	ERR599109	SRR3965873	SRR3963449	SRR3967690	ERR599112	ERR598944	ERR599131	ERR599166	SRR3965874	SRR3968777	ERR599096	ERR598958	SRR3961935	SRR3961906	SRR3963804	SRR3961047	SRR3960575	SRR3965586	ERR599031	ERR599033	ERR599000	ERR599048	ERR598947	SRR3967700	ERR599008	ERR599172	ERR599021	ERR598960	ERR599047	ERR599005	ERR599154	SRR3962680	ERR598971	SRR3967319	ERR599086	ERR599071	ERR598985	SRR3960578	ERR599044	ERR599149	ERR599125	ERR599060	ERR599037	SRR3962293	SRR3965592	ERR599115	ERR599132	ERR599020
Alteromonas macleodii	815629.0	118576.0	84136.0	93381.0	32407.0	94475.0	635451.0	964120.0	258421.0	398504.0	1497501.0	95805.0	681067.0	661264.0	276771.0	261263.0	1593853.0	98779.0	399651.0	702099.0	650302.0	397985.0	640862.0	642891.0	5838538.0	399857.0	311084.0	43774.0	1332737.0	409074.0	118698.0	3502033.0	295068.0	295437.0	79873.0	22049.0	452419.0	109631.0	146947.0	299075.0	284077.0	44537.0	335449.0	93231.0	680185.0	25046.0	17541.0	18471.0	40764.0	356333.0	578468.0	607488.0	94222.0	1821477.0	495696.0	1346262.0	424761.0	13096.0	165987.0	474580.0	1680506.0	100371.0	1079658.0	278124.0	33648.0	7644077.0	389299.0	1651436.0	602026.0	3330504.0	551247.0	3694498.0	627171.0	3185.0	641037.0	387967.0	110683.0	112171.0	1037943.0	3646922.0	1600997.0
Alteromonas mediterranea	14044.0	3908.0	6596.0	7796.0	17690.0	5315.0	16797.0	94278.0	11397.0	67706.0	102438.0	9041.0	58093.0	44653.0	7499.0	42673.0	91176.0	8935.0	68556.0	46930.0	36347.0	69099.0	17460.0	16694.0	130100.0	66222.0	53647.0	13769.0	91111.0	93161.0	29700.0	162129.0	91694.0	20077.0	16286.0	6022.0	29844.0	5887.0	40639.0	19040.0	35849.0	12548.0	29492.0	7219.0	16036.0	3536.0	7497.0	4926.0	5383.0	56285.0	77217.0	28531.0	7469.0	118541.0	77681.0	42613.0	24878.0	3693.0	14171.0	8882.0	77030.0	37938.0	169917.0	18655.0	3757.0	523101.0	62493.0	90428.0	149255.0	155167.0	184385.0	634037.0	103216.0	738.0	17564.0	32484.0	18688.0	9445.0	53003.0	248635.0	47462.0
Alteromonas sp. B31-7	14517.0	1118.0	7366.0	21113.0	590.0	746.0	6128.0	5727.0	87075.0	552337.0	8926.0	21830.0	8254.0	11650.0	338.0	3629.0	41496.0	830.0	554318.0	3640.0	5543.0	555669.0	5987.0	5367.0	14440.0	552584.0	5906.0	277.0	23479.0	101895.0	12232.0	11226.0	12304.0	1302.0	643.0	1478.0	1573.0	13669.0	33333.0	147246.0	42241.0	1889.0	1228.0	20493.0	22587.0	0.0	0.0	340.0	0.0	3355.0	1910.0	1811.0	21440.0	192491.0	707065.0	167628.0	2324.0	22274.0	4376.0	8246.0	561134.0	33137.0	1548548.0	29431.0	1319.0	44788.0	4928.0	98087.0	66497.0	270223.0	39594.0	7329947.0	1244143.0	5025.0	6258.0	10547.0	1318.0	943.0	36227.0	63323.0	42398.0
Alteromonas sp. RW2A1	2311.0	169.0	316.0	1075.0	101.0	675.0	9303.0	8442.0	980.0	14420.0	8150.0	1045.0	1086.0	7982.0	216.0	413.0	12253.0	816.0	14440.0	959.0	4594.0	14300.0	9752.0	9751.0	19871.0	14483.0	871.0	175.0	16098.0	2450.0	2457.0	5136.0	692.0	426.0	192.0	86.0	622.0	467.0	1334.0	4131.0	1832.0	124.0	658.0	1079.0	3229.0	62.0	0.0	141.0	56.0	516.0	2143.0	856.0	1100.0	13625.0	10304.0	9493.0	2550.0	224.0	400.0	1273.0	6929.0	856.0	22111.0	2088.0	91.0	42154.0	569.0	12561.0	12792.0	75256.0	1794.0	139803.0	24113.0	0.0	9547.0	1050.0	260.0	504.0	5454.0	44396.0	14512.0
Alteromonas sp. MB-3u-76	1064.0	93.0	58.0	430.0	165.0	96.0	455.0	6449.0	304.0	1709.0	2079.0	364.0	205.0	728.0	969.0	113.0	1063.0	515.0	1546.0	657.0	813.0	1369.0	457.0	479.0	846.0	1482.0	519.0	122.0	1301.0	455.0	637.0	2143.0	256.0	300.0	244.0	0.0	444.0	0.0	119.0	722.0	302.0	50.0	1424.0	283.0	0.0	0.0	0.0	76.0	0.0	93.0	855.0	431.0	335.0	6156.0	4500.0	957.0	1427.0	202.0	318.0	669.0	1669.0	140.0	10196.0	959.0	0.0	10260.0	400.0	2005.0	3316.0	23799.0	466.0	34385.0	5848.0	0.0	485.0	632.0	45.0	383.0	422.0	3834.0	2215.0
Alteromonas sp. RKMC-009	267.0	2265.0	5479.0	64.0	29.0	187.0	14674.0	511.0	111.0	5202.0	770.0	51.0	843.0	335.0	37.0	1343.0	616.0	4329.0	5072.0	44772.0	1400.0	5094.0	14959.0	15112.0	36421.0	5084.0	132.0	770.0	629.0	1648.0	76.0	4468.0	357.0	18491.0	26.0	180.0	376.0	97.0	2556.0	232.0	3101.0	30.0	28.0	68.0	1015.0	160.0	259.0	704.0	359.0	254.0	711.0	786.0	63.0	908.0	361.0	1125.0	263.0	34.0	542.0	184.0	895.0	572.0	779.0	116.0	137.0	4066.0	209.0	1249.0	355.0	76960.0	827.0	3293.0	586.0	0.0	14963.0	1265.0	365.0	115.0	18337.0	1840.0	1759.0
Alteromonas sp. BL110	47.0	34.0	0.0	32.0	0.0	0.0	264.0	74.0	128.0	812.0	84.0	33.0	47.0	136.0	0.0	26.0	593.0	0.0	773.0	105.0	88.0	860.0	294.0	273.0	363.0	820.0	64.0	20.0	269.0	158.0	38.0	365.0	33.0	46.0	0.0	0.0	23.0	338.0	77.0	104.0	140.0	0.0	0.0	38.0	65.0	0.0	0.0	0.0	0.0	28.0	39.0	66.0	35.0	418.0	943.0	233.0	14.0	0.0	49.0	34.0	737.0	73.0	2015.0	54.0	0.0	458.0	53.0	326.0	236.0	1029.0	176.0	5019.0	828.0	0.0	272.0	88.0	0.0	0.0	147.0	715.0	214.0
Alteromonas sp. LMIT006	16.0	0.0	0.0	0.0	0.0	0.0	134.0	12.0	0.0	92.0	129.0	0.0	14.0	294.0	0.0	0.0	372.0	0.0	113.0	36.0	103.0	95.0	147.0	133.0	559.0	82.0	0.0	0.0	570.0	0.0	33.0	41.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	130.0	20.0	39.0	12.0	0.0	0.0	0.0	49.0	0.0	73.0	19.0	0.0	732.0	13.0	142.0	144.0	138.0	36.0	277.0	40.0	0.0	129.0	17.0	0.0	0.0	105.0	1576.0	362.0
Alteromonas sp. 76-1	24.0	0.0	0.0	37.0	0.0	0.0	19.0	122.0	96.0	1203.0	37.0	49.0	0.0	206.0	28.0	0.0	114.0	0.0	1226.0	0.0	0.0	1205.0	0.0	31.0	46.0	1068.0	0.0	0.0	425.0	182.0	189.0	45.0	31.0	0.0	0.0	0.0	0.0	33.0	64.0	325.0	74.0	0.0	105.0	59.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	568.0	1464.0	512.0	0.0	0.0	0.0	0.0	649.0	74.0	3029.0	96.0	0.0	199.0	22.0	262.0	1008.0	529.0	117.0	12808.0	2027.0	0.0	23.0	30.0	0.0	0.0	86.0	1128.0	129.0
Alteromonas australica	21823.0	6810.0	4750.0	15510.0	1071.0	964.0	4282.0	19437.0	124153.0	402583.0	4297.0	15151.0	13574.0	6909.0	675.0	6325.0	43591.0	885.0	399105.0	3490.0	6539.0	398074.0	4344.0	4227.0	6184.0	402351.0	20896.0	814.0	13081.0	71515.0	13311.0	10778.0	14509.0	1296.0	1195.0	1231.0	5252.0	66078.0	22504.0	285990.0	33213.0	2053.0	1272.0	15204.0	12343.0	186.0	230.0	273.0	174.0	4973.0	2870.0	1898.0	15025.0	271132.0	639451.0	302460.0	3909.0	13924.0	4497.0	12684.0	804254.0	26819.0	1400456.0	41229.0	1029.0	21173.0	9964.0	70652.0	68380.0	220194.0	77515.0	14426599.0	2451117.0	3343.0	4197.0	11593.0	2682.0	2108.0	25333.0	37188.0	27210.0
