Feature ID	Taxon
Alteromonas macleodii	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas macleodii
Alteromonas mediterranea	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas mediterranea
Alteromonas sp. B31-7	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas sp. B31-7
Alteromonas sp. RW2A1	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas sp. RW2A1
Alteromonas sp. MB-3u-76	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas sp. MB-3u-76
Alteromonas sp. RKMC-009	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas sp. RKMC-009
Alteromonas sp. BL110	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas sp. BL110
Alteromonas sp. LMIT006	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas sp. LMIT006
Alteromonas sp. 76-1	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas sp. 76-1
Alteromonas australica	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas australica
Alteromonas naphthalenivorans	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas naphthalenivorans
Alteromonas pelagimontana	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas pelagimontana
Alteromonas stellipolaris	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas stellipolaris
Salinimonas iocasae	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Salinimonas; s__Salinimonas iocasae
Salinimonas sediminis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Salinimonas; s__Salinimonas sediminis
Saccharobesus litoralis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Saccharobesus; s__Saccharobesus litoralis
Hydrocarboniclastica marina	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Hydrocarboniclastica; s__Hydrocarboniclastica marina
Pseudoalteromonas sp. SCSIO 43088	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas sp. SCSIO 43088
Pseudoalteromonas sp. APM04	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas sp. APM04
Pseudoalteromonas sp. THAF3	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas sp. THAF3
Pseudoalteromonas sp. SCSIO 43101	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas sp. SCSIO 43101
Pseudoalteromonas sp. CF6-2	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas sp. CF6-2
Pseudoalteromonas donghaensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas lipolytica
Pseudoalteromonas shioyasakiensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas shioyasakiensis
Pseudoalteromonas issachenkonii	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas issachenkonii
Pseudoalteromonas piscicida	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas piscicida
Pseudoalteromonas ruthenica	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas ruthenica
Pseudoalteromonas spongiae	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__Pseudoalteromonas spongiae
Idiomarina sp. X4	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina sp. X4
Idiomarina sp. OT37-5b	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina sp. OT37-5b
Idiomarina loihiensis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina loihiensis
Idiomarina piscisalsi	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina piscisalsi
Idiomarina abyssalis	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina; s__Idiomarina abyssalis
Halomonas meridiana	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Vreelandella; s__Vreelandella aquamarina
Halomonas sp. DN3	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. DN3
Halomonas sp. A3H3	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. A3H3
Halomonas sp. KO116	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. KO116
Halomonas sp. 18071143	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. 18071143
Halomonas sp. Y3	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. Y3
Halomonas sp. 3H	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. 3H
Halomonas sp. R57-5	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. R57-5
Halomonas sp. JS92-SW72	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. JS92-SW72
Halomonas sp. 7T	k__ ; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__Halomonas sp. 7T
