qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
CP018223|MOBP	NODE_23928_length_3042_cov_0.066938	175	3042	1	175	1044	1218	175	0	100.0	100.0	100.0	plus	9.36e-90	324	oriT
002102__AP017658_00105|rep_cluster_647	NODE_13180_length_4116_cov_0.159572	1164	4116	1	1164	265	1428	1164	110	90.55	100.0	100.0	plus	0.0	1541	replicon
000637__CP004038_00178|rep_cluster_1319	NODE_1720_length_11212_cov_0.330064	912	11212	10	912	1469	2371	903	65	92.802	99.0	99.0	minus	0.0	1308	replicon
001982__CP004395_00001|rep_cluster_579	NODE_1886_length_10752_cov_0.180606	1194	10752	1	1194	4370	5563	1194	150	87.43700000000003	100.0	100.0	plus	0.0	1375	replicon
001501__CP012662_00089|rep_cluster_231	NODE_19610_length_3371_cov_0.079462	1407	3371	1	1407	982	2389	1408	12	99.077	100.0	100.0	plus	0.0	2527	replicon
KU302809_00001|rep_cluster_2335	NODE_23928_length_3042_cov_0.066938	606	3042	55	586	537	1066	535	45	90.093	88.0	88.0	minus	0.0	688	replicon
KU302809_00001|rep_cluster_2335	NODE_23928_length_3042_cov_0.066938	606	3042	55	547	2491	2983	493	21	95.74	81.0	88.0	minus	0.0	795	replicon
000272__CP000467_00004|rep_cluster_1021	NODE_26391_length_2895_cov_0.136981	1005	2895	8	981	1314	2290	984	173	80.691	97.0	97.0	plus	0.0	749	replicon
002214__JN180627_00016|rep_cluster_736	NODE_33658_length_2546_cov_0.129955	1095	2546	1	1095	172	1272	1101	111	89.37299999999998	100.0	100.0	minus	0.0	1380	replicon
000637__CP004038_00178|rep_cluster_1319	NODE_58767_length_1894_cov_0.147075	912	1894	85	901	559	1375	818	96	88.02	90.0	90.0	minus	0.0	966	replicon
001440__CP020446|rep_cluster_2002	NODE_7455_length_5470_cov_0.173338	306	5470	8	270	1082	1341	268	38	80.97	86.0	86.0	plus	3.0399999999999994e-52	200	replicon
001917__CP009295_00001|rep_cluster_545	NODE_8_length_141981_cov_0.354034	1143	141981	1	1105	72625	73728	1123	181	80.58800000000002	97.0	97.0	minus	0.0	832	replicon
AP018520_00059|MOBF	NODE_1199_length_13455_cov_0.118598	1014	13455	1	1014	6218	9259	1014	2	99.803	100.0	100.0	plus	0.0	1907	relaxase
CP015441_00197|MOBF	NODE_1250_length_13164_cov_0.380559	1008	13164	1	1008	3160	6183	1008	29	97.123	100.0	100.0	minus	0.0	1931	relaxase
CP010958_00012|MOBQ	NODE_1720_length_11212_cov_0.330064	996	11212	1	996	6463	9450	996	64	93.574	100.0	100.0	plus	0.0	1669	relaxase
NC_008036_00003|MOBQ	NODE_185_length_34085_cov_0.182487	961	34085	1	961	7085	9967	961	0	100.0	100.0	100.0	minus	0.0	1881	relaxase
CP010958_00012|MOBQ	NODE_26475_length_2890_cov_0.103547	996	2890	61	996	43	2853	938	164	82.196	94.0	94.0	minus	0.0	1439	relaxase
CP029764_00015|MOBP	NODE_3382_length_8056_cov_0.117758	772	8056	1	768	2276	4579	768	1	99.87	99.0	99.0	plus	0.0	1236	relaxase
CP005087_00061|MOBQ	NODE_41966_length_2263_cov_0.121534	718	2263	1	584	509	2263	585	88	84.786	81.0	81.0	plus	0.0	936	relaxase
CP041223_00025|MOBF	NODE_476_length_21477_cov_0.183132	1006	21477	1	1006	9288	12311	1008	63	93.552	100.0	100.0	minus	0.0	1872	relaxase
NC_016000_00002|MOBQ	NODE_5642_length_6287_cov_0.120556	361	6287	1	343	682	1719	346	28	91.04	95.0	95.0	plus	2.6499999999999976e-179	543	relaxase
CP025409_00035|MOBP	NODE_80694_length_1606_cov_0.053749	624	1606	92	624	2	1600	533	43	91.932	85.0	85.0	plus	0.0	912	relaxase
AP012223_00131|MOBP	NODE_8942_length_4998_cov_0.089202	373	4998	1	359	2	1078	359	6	98.329	96.0	96.0	minus	0.0	650	relaxase
NC_019394_00098|MPF_I	NODE_12672_length_4201_cov_0.116529	310	4201	1	310	2467	3396	310	3	99.032	100.0	100.0	minus	0.0	632	mate-pair-formation
