All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    ERR599055  ERR599060  ERR599062  ERR599067  ERR599071  ERR599072  ERR599076  ERR599083
# contigs (>= 0 bp)         34         23         73         36         81         411        31         79       
# contigs (>= 1000 bp)      34         23         73         36         81         411        31         79       
# contigs (>= 5000 bp)      1          7          15         16         14         119        4          37       
# contigs (>= 10000 bp)     0          3          8          11         8          76         2          17       
# contigs (>= 25000 bp)     0          1          3          5          1          37         2          9        
# contigs (>= 50000 bp)     0          1          1          2          0          18         2          3        
Total length (>= 0 bp)      64690      174660     545352     398365     297759     4129205    541155     828001   
Total length (>= 1000 bp)   64690      174660     545352     398365     297759     4129205    541155     828001   
Total length (>= 5000 bp)   5021       138598     439891     363085     182499     3522687    490098     744072   
Total length (>= 10000 bp)  0          110139     394040     327798     137741     3222283    477206     602395   
Total length (>= 25000 bp)  0          77729      300723     238099     25755      2559420    477206     453087   
Total length (>= 50000 bp)  0          77729      241013     140385     0          1859581    477206     232541   
# contigs                   34         23         73         36         81         411        31         79       
Largest contig              5021       77729      241013     80507      25755      274575     421278     96246    
Total length                64690      174660     545352     398365     297759     4129205    541155     828001   
GC (%)                      53.51      54.96      43.40      58.56      53.79      46.78      45.39      58.27    
N50                         1996       20547      32594      31743      9346       41530      421278     28586    
N90                         1184       2483       1944       5273       1306       3137       5652       4979     
auN                         2346.2     39617.4    114146.0   37925.9    10935.4    72028.6    334113.6   37807.6  
L50                         12         2          2          4          10         23         1          8        
L90                         28         13         35         16         55         170        4          38       
# N's per 100 kbp           0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00     
