All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    SRR3965873  SRR3965874  SRR3966130  SRR3967319  SRR3967690  SRR3967700  SRR3968061  SRR3968062  SRR3968777
# contigs (>= 0 bp)         180         91          209         133         54          21          2           47          10        
# contigs (>= 1000 bp)      180         91          209         133         54          21          2           47          10        
# contigs (>= 5000 bp)      10          2           29          3           10          5           1           12          2         
# contigs (>= 10000 bp)     1           0           4           0           4           1           0           4           1         
# contigs (>= 25000 bp)     0           0           0           0           0           0           0           2           0         
# contigs (>= 50000 bp)     0           0           0           0           0           0           0           2           0         
Total length (>= 0 bp)      445413      163557      601635      245613      174472      86111       9452        322719      47568     
Total length (>= 1000 bp)   445413      163557      601635      245613      174472      86111       9452        322719      47568     
Total length (>= 5000 bp)   69422       14228       219503      18246       101205      48676       7946        258478      28433     
Total length (>= 10000 bp)  10905       0           54383       0           60856       16014       0           198876      19677     
Total length (>= 25000 bp)  0           0           0           0           0           0           0           167810      0         
Total length (>= 50000 bp)  0           0           0           0           0           0           0           167810      0         
# contigs                   180         91          209         133         54          21          2           47          10        
Largest contig              10905       7242        17462       7875        18699       16014       7946        109457      19677     
Total length                445413      163557      601635      245613      174472      86111       9452        322719      47568     
GC (%)                      59.30       56.76       57.20       55.04       43.28       43.51       39.88       41.52       42.87     
N50                         2723        1676        3610        2000        5941        7283        7946        58353       8756      
N90                         1402        1155        1458        1124        1240        1575        1506        1832        1963      
auN                         3356.1      2429.4      4754.0      2351.2      7991.7      7369.2      6919.9      51085.3     11063.5   
L50                         54          30          49          44          8           5           1           2           2         
L90                         143         76          160         110         39          15          2           24          7         
# N's per 100 kbp           0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00      
