Assembly	ERR598944	ERR598947	ERR598958	ERR598960	ERR598964	ERR598971	ERR598980	ERR598985
# contigs (>= 0 bp)	354	94	219	279	370	140	179	415
# contigs (>= 1000 bp)	354	94	219	279	370	140	179	415
# contigs (>= 5000 bp)	73	20	40	105	62	49	25	101
# contigs (>= 10000 bp)	41	7	22	56	35	33	8	56
# contigs (>= 25000 bp)	20	2	9	18	16	14	2	21
# contigs (>= 50000 bp)	8	0	5	11	11	10	1	2
Total length (>= 0 bp)	2397671	363753	1534979	2517952	3011014	1487193	588828	2307193
Total length (>= 1000 bp)	2397671	363753	1534979	2517952	3011014	1487193	588828	2307193
Total length (>= 5000 bp)	1836573	200423	1195125	2132327	2384179	1307872	321115	1642566
Total length (>= 10000 bp)	1614131	119027	1060214	1788733	2191299	1191532	207493	1328043
Total length (>= 25000 bp)	1270937	51858	842969	1168602	1902885	917481	127194	773752
Total length (>= 50000 bp)	848077	0	718695	959330	1719957	804880	79160	138351
# contigs	354	94	219	279	370	140	179	415
Largest contig	301491	26245	252570	195318	408615	142113	79160	71283
Total length	2397671	363753	1534979	2517952	3011014	1487193	588828	2307193
GC (%)	53.85	43.84	48.99	58.05	49.56	48.96	53.96	54.43
N50	27627	5296	33415	23061	85362	58473	5642	13361
N90	1883	1740	1852	3150	2052	3714	1255	1977
auN	67633.2	8917.5	92961.9	49310.8	142809.9	54558.3	18759.0	19641.9
L50	18	17	7	22	8	9	21	42
L90	183	66	106	139	166	57	127	247
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
