qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
001954__CP015042_00026|rep_cluster_558	NODE_353_length_11605_cov_2.989049	1200	11605	1	1198	7520	8717	1198	7	99.416	99.0	99.0	plus	0.0	2174	replicon
002059__CP015092_00011|rep_cluster_613	NODE_489_length_9919_cov_3.365988	1182	9919	1	1182	1429	2610	1184	167	85.557	100.0	100.0	plus	0.0	1236	replicon
001864__NC_015728_00001|rep_cluster_494	NODE_5960_length_2890_cov_1.690792	1218	2890	31	1218	1191	2378	1189	180	84.693	98.0	98.0	minus	0.0	1186	replicon
000701__NC_021718_00105|rep_cluster_1371	NODE_9552_length_2303_cov_1.328947	894	2303	1	894	1008	1901	894	7	99.217	100.0	100.0	plus	0.0	1613	replicon
001980__CP014798_00109|rep_cluster_579	NODE_9986_length_2252_cov_1.227589	1194	2252	1	1194	371	1564	1194	109	90.871	100.0	100.0	plus	0.0	1602	replicon
CP021432_00049|MOBP	NODE_110_length_19536_cov_3.104646	653	19536	1	653	16069	18027	653	20	96.937	100.0	100.0	minus	0.0	1298	relaxase
CP025812_00016|MOBP	NODE_139_length_17551_cov_2.820766	642	17551	1	642	90	2015	642	21	96.729	100.0	100.0	plus	0.0	1096	relaxase
CP042821_00055|MOBP	NODE_226_length_13981_cov_3.166042	747	13981	1	747	1416	3656	747	58	92.236	100.0	100.0	plus	0.0	1332	relaxase
NC_004574_00081|MPF_T	NODE_14070_length_1896_cov_1.881469	106	1896	15	106	1117	1392	92	3	96.739	87.0	87.0	plus	6.49e-57	181	mate-pair-formation
NC_004574_00081|MPF_T	NODE_21020_length_1553_cov_1.722146	106	1553	15	106	791	1066	92	6	93.478	87.0	87.0	minus	2.39e-56	177	mate-pair-formation
NC_023148_00034|MPF_T	NODE_226_length_13981_cov_3.166042	667	13981	1	627	3668	5545	630	99	83.175	94.0	94.0	plus	0.0	997	mate-pair-formation
NC_004574_00087|MPF_T	NODE_23042_length_1481_cov_1.629522	231	1481	9	231	520	1188	223	36	83.85700000000001	97.0	97.0	minus	5.439999999999997e-134	381	mate-pair-formation
NC_009955_00053|MPF_T	NODE_3950_length_3544_cov_2.098984	218	3544	2	218	507	1157	217	5	97.696	99.0	99.0	minus	2.969999999999998e-131	392	mate-pair-formation
NC_008042_00056|MPF_T	NODE_7705_length_2557_cov_1.771766	359	2557	1	359	412	1488	362	47	85.359	100.0	100.0	plus	4.699999999999998e-172	496	mate-pair-formation
NC_014007_00174|MPF_T	NODE_998_length_6902_cov_2.991180	667	6902	1	667	1489	3471	667	112	82.309	100.0	100.0	minus	0.0	1003	mate-pair-formation
