qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
001613__CP014803_00046|rep_cluster_305	NODE_10159_length_1920_cov_2.036244	1356	1920	1	1356	269	1624	1356	24	98.23	100.0	100.0	minus	0.0	2372	replicon
002032__CP010870_00044|rep_cluster_599	NODE_1642_length_4432_cov_2.128779	1188	4432	1	1188	1998	3185	1188	9	99.242	100.0	100.0	minus	0.0	2145	replicon
001892__CP022421_00013|rep_cluster_517	NODE_20289_length_1365_cov_1.667457	1212	1365	44	1212	1	1169	1169	150	87.169	96.0	96.0	plus	0.0	1328	replicon
001501__CP012662_00089|rep_cluster_231	NODE_3024_length_3357_cov_1.684776	1407	3357	150	1406	1	1258	1258	34	97.218	89.0	89.0	plus	0.0	2128	replicon
002262__CP020476_00032|rep_cluster_784	NODE_4436_length_2809_cov_1.959779	1086	2809	1	1086	399	1484	1086	57	94.751	100.0	100.0	minus	0.0	1690	replicon
001892__CP022421_00013|rep_cluster_517	NODE_6649_length_2337_cov_2.015192	1212	2337	1	1212	1035	2246	1213	228	81.039	100.0	100.0	plus	0.0	965	replicon
002059__CP015092_00011|rep_cluster_613	NODE_7191_length_2251_cov_2.167751	1182	2251	1	1182	141	1322	1184	167	85.557	100.0	100.0	plus	0.0	1236	replicon
CP021432_00049|MOBP	NODE_3261_length_3256_cov_1.772569	653	3256	1	653	1242	3200	653	20	96.937	100.0	100.0	plus	0.0	1298	relaxase
CP025812_00016|MOBP	NODE_3837_length_3018_cov_1.462487	642	3018	1	642	25	1950	642	20	96.885	100.0	100.0	plus	0.0	1098	relaxase
CP042821_00055|MOBP	NODE_551_length_7297_cov_2.458877	747	7297	1	747	899	3139	747	58	92.236	100.0	100.0	plus	0.0	1332	relaxase
CP045397_00001|MOBQ	NODE_597_length_7003_cov_6.120800	401	7003	1	279	2	838	279	8	97.133	70.0	100.0	minus	4.049999999999996e-155	479	relaxase
CP045397_00001|MOBQ	NODE_597_length_7003_cov_6.120800	401	7003	240	401	6510	6995	162	14	91.358	40.0	100.0	minus	4.05e-65	220	relaxase
CP025814_00006|MOBQ	NODE_6328_length_2388_cov_2.377457	426	2388	1	409	3	1229	409	3	99.267	96.0	96.0	minus	0.0	658	relaxase
NC_019394_00096|MPF_I	NODE_30743_length_1099_cov_1.382000	218	1099	1	218	420	1073	218	1	99.541	100.0	100.0	plus	1.889999999999999e-160	443	mate-pair-formation
NC_019394_00072|MPF_I	NODE_35397_length_1018_cov_1.924918	283	1018	1	283	61	909	283	0	100.0	100.0	100.0	plus	0.0	577	mate-pair-formation
NC_023148_00034|MPF_T	NODE_551_length_7297_cov_2.458877	667	7297	1	627	3151	5028	630	98	83.333	94.0	94.0	plus	0.0	999	mate-pair-formation
NC_008042_00056|MPF_T	NODE_9238_length_2006_cov_1.924489	359	2006	1	359	250	1326	359	53	85.23700000000002	100.0	100.0	minus	9.199999999999996e-178	504	mate-pair-formation
