qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002032__CP010870_00044|rep_cluster_599	NODE_1019_length_18142_cov_0.205952	1188	18142	1	1188	12451	13638	1188	9	99.242	100.0	100.0	plus	0.0	2145	replicon
000980__NC_009955_00156|rep_cluster_160	NODE_1251_length_15899_cov_0.252975	1356	15899	1	1356	11092	12447	1356	19	98.599	100.0	100.0	plus	0.0	2399	replicon
001980__CP014798_00109|rep_cluster_579	NODE_1339_length_15300_cov_0.127952	1194	15300	1	1194	3031	4224	1194	0	100.0	100.0	100.0	plus	0.0	2206	replicon
001954__CP015042_00026|rep_cluster_558	NODE_15561_length_3457_cov_0.157534	1200	3457	1	1200	1243	2442	1200	6	99.5	100.0	100.0	minus	0.0	2183	replicon
000446__CP012709_00010|rep_cluster_1166	NODE_15678_length_3442_cov_0.115465	954	3442	7	945	2068	3009	942	162	82.484	98.0	98.0	minus	0.0	822	replicon
001892__CP022421_00013|rep_cluster_517	NODE_19805_length_3009_cov_0.219931	1212	3009	1	1212	631	1842	1212	135	88.861	100.0	100.0	plus	0.0	1491	replicon
002056__CP010856_00001|rep_cluster_610	NODE_32744_length_2273_cov_0.155934	702	2273	1	702	1371	2072	702	140	80.057	100.0	100.0	minus	1.2799999999999991e-148	521	replicon
CP017058_00081|rep_cluster_2238	NODE_534_length_28451_cov_0.623236	843	28451	20	767	17161	17911	757	110	83.48700000000002	89.0	89.0	plus	0.0	691	replicon
002059__CP015092_00011|rep_cluster_613	NODE_582_length_26631_cov_0.252299	1182	26631	1	1182	15746	16927	1184	167	85.557	100.0	100.0	plus	0.0	1236	replicon
002400__CP004397_00001|rep_cluster_914	NODE_628_length_25332_cov_0.403321	1035	25332	1	1035	10500	11534	1035	63	93.913	100.0	100.0	minus	0.0	1563	replicon
000980__NC_009955_00156|rep_cluster_160	NODE_79694_length_1378_cov_0.129007	1356	1378	1	1356	11	1366	1356	118	91.298	100.0	100.0	minus	0.0	1851	replicon
001717__CP019309|rep_cluster_392	NODE_943_length_19304_cov_0.257589	1296	19304	91	1296	14542	15744	1210	226	80.413	93.0	93.0	minus	0.0	911	replicon
001892__CP022421_00013|rep_cluster_517	NODE_943_length_19304_cov_0.257589	1212	19304	1	1212	17082	18293	1213	228	81.039	100.0	100.0	minus	0.0	965	replicon
000497__CP012534_00001|rep_cluster_1207	NODE_96420_length_1238_cov_0.108867	942	1238	1	942	225	1166	942	10	98.938	100.0	100.0	plus	0.0	1685	replicon
001955__AF416331_00126|rep_cluster_558	NODE_980_length_18678_cov_0.236342	1200	18678	1	1200	11917	13116	1200	122	89.833	100.0	100.0	plus	0.0	1541	replicon
NC_023148_00033|MOBP	NODE_2694_length_9760_cov_0.317462	777	9760	50	777	7575	9758	728	44	93.956	94.0	94.0	minus	0.0	1367	relaxase
CP025814_00006|MOBQ	NODE_5336_length_6385_cov_1.514318	426	6385	1	424	868	2112	431	58	81.206	99.0	99.0	minus	0.0	561	relaxase
CP010360_00062|MOBP	NODE_534_length_28451_cov_0.623236	667	28451	1	664	20675	22645	664	108	82.681	99.0	99.0	plus	0.0	995	relaxase
NC_023136_00137|MOBP	NODE_582_length_26631_cov_0.252299	264	26631	1	203	6223	6831	203	21	89.655	77.0	100.0	plus	2.689999999999999e-122	380	relaxase
NC_008388_00006|MOBQ	NODE_628_length_25332_cov_0.403321	427	25332	1	427	18704	19981	427	31	92.506	100.0	100.0	plus	0.0	701	relaxase
NC_004574_00087|MPF_T	NODE_110404_length_1146_cov_0.230181	231	1146	1	231	371	1063	231	20	91.342	100.0	100.0	minus	1.0399999999999995e-148	416	mate-pair-formation
NC_017958_00039|MPF_G	NODE_1126_length_16929_cov_1.282828	149	16929	27	149	1613	1975	123	21	81.301	83.0	83.0	plus	2.43e-59	194	mate-pair-formation
NC_017958_00038|MPF_T	NODE_1126_length_16929_cov_1.282828	963	16929	1	962	1978	4845	963	163	82.243	99.0	99.0	plus	0.0	1566	mate-pair-formation
NC_017958_00034|MPF_G	NODE_1126_length_16929_cov_1.282828	316	16929	25	315	6961	7833	291	45	84.536	92.0	92.0	plus	3.449999999999997e-177	540	mate-pair-formation
NC_017958_00033|MPF_G	NODE_1126_length_16929_cov_1.282828	464	16929	1	464	7850	9244	465	84	81.72	100.0	100.0	plus	0.0	696	mate-pair-formation
NC_008042_00056|MPF_T	NODE_2694_length_9760_cov_0.317462	359	9760	1	359	489	1562	359	44	87.465	100.0	100.0	plus	3.1699999999999976e-160	493	mate-pair-formation
NC_023148_00034|MPF_T	NODE_2694_length_9760_cov_0.317462	667	9760	1	645	5623	7563	647	35	94.281	97.0	97.0	minus	0.0	1159	mate-pair-formation
NC_004574_00081|MPF_T	NODE_29818_length_2395_cov_0.446864	106	2395	15	106	782	1057	92	1	98.913	87.0	87.0	minus	6.83e-57	184	mate-pair-formation
NC_023148_00034|MPF_T	NODE_3966_length_7687_cov_0.199657	667	7687	1	667	871	2868	667	32	95.052	100.0	100.0	plus	0.0	1197	mate-pair-formation
NC_023148_00034|MPF_T	NODE_4052_length_7582_cov_0.232126	667	7582	1	645	306	2240	645	35	94.574	97.0	97.0	plus	0.0	1168	mate-pair-formation
NC_019394_00086|MPF_I	NODE_4445_length_7183_cov_0.245906	799	7183	1	799	1097	3493	799	0	100.0	100.0	100.0	minus	0.0	1466	mate-pair-formation
NC_019394_00098|MPF_I	NODE_4724_length_6901_cov_0.547192	310	6901	1	310	2792	3721	310	3	99.032	100.0	100.0	minus	0.0	632	mate-pair-formation
