All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    SRR3963457  SRR3963458  SRR3963622  SRR3963804  SRR3963982  SRR3965586  SRR3965592  SRR3965758
# contigs (>= 0 bp)         149         66          68          8           146         304         150         207       
# contigs (>= 1000 bp)      149         66          68          8           146         304         150         207       
# contigs (>= 5000 bp)      36          38          4           1           60          15          8           11        
# contigs (>= 10000 bp)     12          22          0           0           24          2           1           0         
# contigs (>= 25000 bp)     3           8           0           0           3           1           1           0         
# contigs (>= 50000 bp)     2           0           0           0           0           1           0           0         
Total length (>= 0 bp)      699818      709273      123599      20162       849564      767488      386930      485823    
Total length (>= 1000 bp)   699818      709273      123599      20162       849564      767488      386930      485823    
Total length (>= 5000 bp)   412511      640963      27696       8965        630356      185995      89021       72934     
Total length (>= 10000 bp)  253249      520711      0           0           384125      96790       38192       0         
Total length (>= 25000 bp)  131806      284281      0           0           85777       83122       38192       0         
Total length (>= 50000 bp)  102945      0           0           0           0           83122       0           0         
# contigs                   149         66          68          8           146         304         150         207       
Largest contig              51927       48728       8313        8965        32259       83122       38192       9159      
Total length                699818      709273      123599      20162       849564      767488      386930      485823    
GC (%)                      55.65       58.82       49.58       46.55       54.54       53.54       54.71       59.30     
N50                         6280        19012       1688        3512        8247        2684        2903        2673      
N90                         2088        5040        1084        1212        2593        1306        1339        1263      
auN                         13979.2     22349.3     2920.0      5093.5      11017.0     11869.3     6708.4      3190.4    
L50                         25          12          19          2           29          74          37          61        
L90                         102         38          57          7           97          238         117         164       
# N's per 100 kbp           0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00      
